Year,huc12,histogram
2017,170402080608,"{1=107128.79215686282, 0=209156.32156862755}"
2017,170402080102,"{1=7022.941176470587, 0=147917.54509803964}"
2017,170402080104,"{1=6363.73333333333, 0=107250.13333333342}"
2017,170402080106,"{1=8521.811764705883, 0=96938.4941176472}"
2017,170402080107,"{1=14603.533333333333, 0=125763.70980392181}"
2017,170402080105,"{1=22183.458823529425, 0=104381.60392156887}"
2017,170402080108,"{1=41598.768627450976, 0=132671.60392156852}"
2017,170402080211,"{1=15211.854901960782, 0=221206.82745098046}"
2017,170402080506,"{1=6351.168627450981, 0=115638.21568627462}"
2017,170402080602,"{1=7518.7843137254895, 0=148745.70588235295}"
2017,170402080603,"{1=9903.431372549017, 0=146507.95294117663}"
2017,170402080605,"{1=81314.36862745092, 0=192377.95686274493}"
2017,170402080607,"{1=69052.05098039222, 0=101579.66274509812}"
2017,170402080606,"{1=54062.22352941177, 0=56145.827450980374}"
2017,170402080507,"{1=13191.152941176466, 0=129451.87058823532}"
2017,170402080101,"{1=5074.650980392156, 0=143377.2078431374}"
2017,170402080103,"{1=540.7450980392157, 0=56423.63529411775}"
2017,170402080206,"{1=697.0, 0=115057.44313725483}"
2017,170402080501,"{1=11706.196078431376, 0=146029.39607843145}"
2017,170402080502,"{1=2244.8549019607844, 0=63851.70196078432}"
2017,170402080503,"{1=6704.95294117647, 0=156570.93725490145}"
2017,170402080504,"{1=1332.7843137254904, 0=189241.37254901972}"
2017,170402080505,"{1=4077.8352941176468, 0=130024.41568627454}"
2017,170402080601,"{1=5912.113725490196, 0=137954.09803921572}"
2017,170402080604,"{1=17373.76470588235, 0=87146.08627450996}"
2017,170402080305,"{1=3168.0, 0=100017.95686274506}"
2017,170402080306,"{1=14777.160784313724, 0=99359.84313725495}"
2017,170402080201,"{1=9647.023529411768, 0=77777.34117647061}"
2017,170402080203,"{1=4474.41568627451, 0=46731.090196078534}"
2017,170402080202,"{1=24993.49019607842, 0=190052.40784313704}"
2017,170402080204,"{1=73825.67058823528, 0=146315.21176470586}"
2017,170402080208,"{1=3818.3333333333335, 0=82004.32549019613}"
2017,170402080209,"{1=4035.282352941176, 0=153570.72156862725}"
2017,170402080207,"{1=7276.074509803922, 0=143112.28627450962}"
2017,170402080210,"{1=11097.01176470588, 0=122802.18039215704}"
2017,170402080301,"{1=4.737254901960784, 0=75118.89411764697}"
2017,170402080303,"{1=2819.372549019608, 0=77942.0470588237}"
2017,170402080302,"{1=16706.811764705883, 0=171528.75686274478}"
2017,170402080304,"{1=8252.211764705882, 0=137773.1803921568}"
2017,170402080307,"{1=20761.423529411768, 0=169465.1882352942}"
2017,170402080308,"{1=20518.796078431376, 0=103139.91372549026}"
2017,170402080401,"{1=29114.435294117662, 0=143566.1568627452}"
2017,170402080403,"{1=18681.780392156867, 0=109304.36078431355}"
2017,170402080205,"{1=6859.635294117646, 0=92268.3411764706}"
2017,170402080402,"{1=9187.000000000005, 0=104992.46666666665}"
2017,170402080404,"{1=7625.211764705886, 0=152355.72549019603}"
