Year,huc12,histogram
2009,170402080608,"{1=106192.36862745104, 0=210092.74509803933}"
2009,170402080102,"{1=6243.90588235294, 0=148696.58039215728}"
2009,170402080104,"{1=5711.407843137254, 0=107902.45882352951}"
2009,170402080106,"{1=8478.960784313727, 0=96981.34509803935}"
2009,170402080107,"{1=13892.10588235294, 0=126475.13725490218}"
2009,170402080105,"{1=18094.16470588236, 0=108470.89803921586}"
2009,170402080108,"{1=39070.827450980396, 0=135199.54509803915}"
2009,170402080211,"{1=14364.325490196079, 0=222054.35686274513}"
2009,170402080506,"{1=6114.73725490196, 0=115874.64705882363}"
2009,170402080602,"{1=8758.372549019608, 0=147506.11764705885}"
2009,170402080603,"{1=8206.392156862745, 0=148204.9921568629}"
2009,170402080605,"{1=77219.54117647052, 0=196472.78431372545}"
2009,170402080607,"{1=66845.77647058829, 0=103785.937254902}"
2009,170402080606,"{1=54078.89019607844, 0=56129.16078431369}"
2009,170402080507,"{1=13036.592156862745, 0=129606.43137254904}"
2009,170402080101,"{1=2805.0039215686274, 0=145646.8549019609}"
2009,170402080103,"{1=361.6313725490196, 0=56602.749019607945}"
2009,170402080206,"{1=492.0, 0=115262.44313725483}"
2009,170402080501,"{1=10378.364705882354, 0=147357.22745098043}"
2009,170402080502,"{1=2069.6705882352944, 0=64026.886274509816}"
2009,170402080503,"{1=6529.643137254902, 0=156746.24705882295}"
2009,170402080504,"{1=1223.917647058824, 0=189350.23921568642}"
2009,170402080505,"{1=3627.615686274509, 0=130474.63529411769}"
2009,170402080601,"{1=5159.576470588236, 0=138706.63529411767}"
2009,170402080604,"{1=17296.76470588235, 0=87223.08627450996}"
2009,170402080305,"{1=1887.0, 0=101298.95686274505}"
2009,170402080306,"{1=14764.078431372545, 0=99372.92549019614}"
2009,170402080201,"{1=15162.568627450972, 0=72261.7960784314}"
2009,170402080203,"{1=3022.6980392156865, 0=48182.80784313736}"
2009,170402080202,"{1=27712.517647058812, 0=187333.38039215657}"
2009,170402080204,"{1=66732.44313725486, 0=153408.4392156863}"
2009,170402080208,"{1=3664.3333333333335, 0=82158.32549019612}"
2009,170402080209,"{1=3784.305882352941, 0=153821.69803921547}"
2009,170402080207,"{1=7449.992156862747, 0=142938.3686274508}"
2009,170402080210,"{1=11132.988235294115, 0=122766.2039215688}"
2009,170402080301,"{1=2.7372549019607844, 0=75120.89411764697}"
2009,170402080303,"{1=2508.513725490196, 0=78252.90588235314}"
2009,170402080302,"{1=14757.960784313724, 0=173477.6078431369}"
2009,170402080304,"{1=8699.874509803924, 0=137325.51764705876}"
2009,170402080307,"{1=19851.98431372549, 0=170374.62745098042}"
2009,170402080308,"{1=20468.960784313727, 0=103189.7490196079}"
2009,170402080401,"{1=24664.909803921575, 0=148015.68235294128}"
2009,170402080403,"{1=17709.6862745098, 0=110276.45490196066}"
2009,170402080205,"{1=8668.537254901965, 0=90459.43921568629}"
2009,170402080402,"{1=9447.023529411772, 0=104732.44313725489}"
2009,170402080404,"{1=6540.396078431373, 0=153440.54117647055}"
