Year,huc12,histogram
2008,170402080608,"{1=92858.37254901968, 0=223426.74117647076}"
2008,170402080102,"{1=3159.5764705882357, 0=151780.90980392197}"
2008,170402080104,"{1=5154.968627450978, 0=108458.89803921581}"
2008,170402080106,"{1=5761.058823529411, 0=99699.24705882372}"
2008,170402080107,"{1=11089.360784313725, 0=129277.8823529414}"
2008,170402080105,"{1=12518.956862745104, 0=114046.10588235306}"
2008,170402080108,"{1=30236.94509803922, 0=144033.42745098035}"
2008,170402080211,"{1=8504.152941176471, 0=227914.52941176482}"
2008,170402080506,"{1=4590.941176470589, 0=117398.44313725499}"
2008,170402080602,"{1=2764.6274509803925, 0=153499.86274509807}"
2008,170402080603,"{1=3672.333333333334, 0=152739.0509803923}"
2008,170402080605,"{1=72274.61176470583, 0=201417.7137254901}"
2008,170402080607,"{1=66596.74509803925, 0=104034.96862745105}"
2008,170402080606,"{1=52389.66274509806, 0=57818.38823529408}"
2008,170402080507,"{1=11855.835294117644, 0=130787.18823529412}"
2008,170402080101,"{1=1230.8392156862744, 0=147221.01960784325}"
2008,170402080103,"{1=401.8862745098039, 0=56562.49411764716}"
2008,170402080206,"{1=463.0, 0=115291.44313725483}"
2008,170402080501,"{1=5951.792156862746, 0=151783.80000000005}"
2008,170402080502,"{1=1215.7215686274512, 0=64880.83529411767}"
2008,170402080503,"{1=3309.027450980392, 0=159966.86274509752}"
2008,170402080504,"{1=956.9647058823532, 0=189617.19215686287}"
2008,170402080505,"{1=2981.364705882353, 0=131120.88627450983}"
2008,170402080601,"{1=850.0, 0=143016.2117647059}"
2008,170402080604,"{1=16961.76470588235, 0=87558.08627450996}"
2008,170402080305,"{1=915.0, 0=102270.95686274506}"
2008,170402080306,"{1=11721.125490196078, 0=102415.87843137259}"
2008,170402080201,"{1=2245.164705882353, 0=85179.2000000001}"
2008,170402080203,"{1=619.5882352941177, 0=50585.91764705893}"
2008,170402080202,"{1=18168.141176470584, 0=196877.75686274498}"
2008,170402080204,"{1=57821.199999999946, 0=162319.68235294125}"
2008,170402080208,"{1=2550.333333333333, 0=83272.32549019612}"
2008,170402080209,"{1=3211.8117647058825, 0=154394.19215686253}"
2008,170402080207,"{1=4873.949019607844, 0=145514.41176470573}"
2008,170402080210,"{1=8049.278431372548, 0=125849.91372549036}"
2008,170402080301,"{1=1.0, 0=75122.63137254893}"
2008,170402080303,"{1=1442.478431372549, 0=79318.94117647076}"
2008,170402080302,"{1=11440.694117647057, 0=176794.8745098035}"
2008,170402080304,"{1=6947.372549019608, 0=139078.01960784305}"
2008,170402080307,"{1=15259.862745098038, 0=174966.74901960787}"
2008,170402080308,"{1=17200.588235294123, 0=106458.1215686275}"
2008,170402080401,"{1=19639.407843137255, 0=153041.18431372565}"
2008,170402080403,"{1=11610.058823529407, 0=116376.08235294106}"
2008,170402080205,"{1=5584.2313725490185, 0=93543.74509803922}"
2008,170402080402,"{1=7025.93725490196, 0=107153.52941176471}"
2008,170402080404,"{1=4220.172549019608, 0=155760.76470588232}"
