Year,huc12,mean
2000,170402080608,4229.385481909755
2000,170402080102,2531.737737176698
2000,170402080104,3627.8577012802034
2000,170402080106,2834.93040171701
2000,170402080107,2868.236012077012
2000,170402080105,2741.3884817102967
2000,170402080108,3312.249054934887
2000,170402080211,2868.83301732432
2000,170402080506,2158.9611802333243
2000,170402080602,2493.1852033233904
2000,170402080603,3688.537169599193
2000,170402080605,3157.395042849839
2000,170402080607,4054.70980394369
2000,170402080606,5053.889910503897
2000,170402080507,2167.6779481657186
2000,170402080101,1808.7906874973623
2000,170402080103,4563.220527220892
2000,170402080206,4232.083406045012
2000,170402080501,3150.608854216628
2000,170402080502,3556.8756169893595
2000,170402080503,2019.927329766312
2000,170402080504,3238.546247800656
2000,170402080505,1990.2461262569989
2000,170402080601,3022.341940559427
2000,170402080604,1970.289558009377
2000,170402080305,2167.762137182985
2000,170402080306,2621.111690248507
2000,170402080201,2620.6016191968884
2000,170402080203,2706.674458269734
2000,170402080202,2628.8670230895787
2000,170402080204,3648.850067886154
2000,170402080208,3221.5431378406843
2000,170402080209,3945.0970216770615
2000,170402080207,2935.6275495985296
2000,170402080210,2875.816951563635
2000,170402080301,3410.423978128641
2000,170402080303,2757.292086296808
2000,170402080302,2272.326435462852
2000,170402080304,2925.624174903521
2000,170402080307,3070.4813041061043
2000,170402080308,2784.792524887979
2000,170402080401,2806.8102626850828
2000,170402080403,3059.1259482496835
2000,170402080205,2923.961508498928
2000,170402080402,3369.7546053352357
2000,170402080404,2554.146772601119
2001,170402080608,3638.654157748972
2001,170402080102,2290.378911764231
2001,170402080104,3427.5037337506865
2001,170402080106,2606.2669347456485
2001,170402080107,2710.1824197927504
2001,170402080105,2554.8143576828024
2001,170402080108,3068.6188961500097
2001,170402080211,2584.1982369043194
2001,170402080506,1833.9961202129437
2001,170402080602,2090.5449187045638
2001,170402080603,3239.0273833806023
2001,170402080605,2644.0333768571777
2001,170402080607,3605.8639239868967
2001,170402080606,4273.078543074049
2001,170402080507,1759.8605657945836
2001,170402080101,1575.939821098953
2001,170402080103,4313.217134359631
2001,170402080206,4012.167953580282
2001,170402080501,2805.8937021113807
2001,170402080502,3254.153749111805
2001,170402080503,1723.4473557447636
2001,170402080504,2945.753918614038
2001,170402080505,1700.5209183868826
2001,170402080601,2610.796502993646
2001,170402080604,1628.353847232089
2001,170402080305,1933.55761849589
2001,170402080306,2128.799364600939
2001,170402080201,2606.8353806162945
2001,170402080203,2360.691581763504
2001,170402080202,2442.0427626872283
2001,170402080204,3296.266441057466
2001,170402080208,2834.281761659023
2001,170402080209,3568.3230662705114
2001,170402080207,2633.775116785021
2001,170402080210,2492.8615376052708
2001,170402080301,3163.826022907993
2001,170402080303,2536.303381492596
2001,170402080302,1983.220969126722
2001,170402080304,2716.126631664492
2001,170402080307,2635.600292081018
2001,170402080308,2302.298529963461
2001,170402080401,2380.50294135934
2001,170402080403,2715.033042932947
2001,170402080205,2559.7633069951585
2001,170402080402,2982.296056501076
2001,170402080404,2304.238580767588
2002,170402080608,3796.7978563431457
2002,170402080102,2547.473350871896
2002,170402080104,3647.319680287193
2002,170402080106,2747.750981752052
2002,170402080107,3160.963983706685
2002,170402080105,2862.2100809174017
2002,170402080108,3503.3096240052805
2002,170402080211,2799.768579869424
2002,170402080506,2014.4905209322555
2002,170402080602,2323.172154316881
2002,170402080603,3563.6404434350857
2002,170402080605,2870.346304747006
2002,170402080607,3872.148459562544
2002,170402080606,4579.833919255135
2002,170402080507,1961.242907222961
2002,170402080101,1770.0116479650917
2002,170402080103,4528.777366651789
2002,170402080206,4190.000508746446
2002,170402080501,3096.158349057577
2002,170402080502,3470.939948559566
2002,170402080503,1974.6456050137847
2002,170402080504,3159.8469160558366
2002,170402080505,1915.81362831871
2002,170402080601,3002.6411978840447
2002,170402080604,1833.719237556406
2002,170402080305,2197.820423875464
2002,170402080306,2439.2238220392237
2002,170402080201,2839.7626717473413
2002,170402080203,2747.520956813332
2002,170402080202,2864.192815984829
2002,170402080204,3777.5370461495822
2002,170402080208,3214.8139293271547
2002,170402080209,3868.56713887302
2002,170402080207,2865.9217890231544
2002,170402080210,2870.0062727430186
2002,170402080301,3397.146690745169
2002,170402080303,2878.028187661785
2002,170402080302,2330.4590915262675
2002,170402080304,3050.345787050281
2002,170402080307,3047.1373874100755
2002,170402080308,2691.04927413474
2002,170402080401,2757.25378739673
2002,170402080403,3163.768446433563
2002,170402080205,3062.813004241832
2002,170402080402,3429.9101386788143
2002,170402080404,2581.779017549579
2003,170402080608,3704.4635257813898
2003,170402080102,2162.7025985054734
2003,170402080104,3290.3164760928235
2003,170402080106,2465.152373570973
2003,170402080107,2742.204528126764
2003,170402080105,2366.567481295367
2003,170402080108,3104.486208913937
2003,170402080211,2656.456407360989
2003,170402080506,1791.1263289341712
2003,170402080602,2077.0686636872306
2003,170402080603,3169.44593889024
2003,170402080605,2690.499571498131
2003,170402080607,3531.16635635835
2003,170402080606,4248.158091494277
2003,170402080507,1841.0562944790172
2003,170402080101,1486.049598162552
2003,170402080103,4224.613100613757
2003,170402080206,3993.737570351501
2003,170402080501,2808.29827803337
2003,170402080502,3295.7604726010104
2003,170402080503,1790.9076983439893
2003,170402080504,2893.003916450393
2003,170402080505,1678.2770312860218
2003,170402080601,2568.465048646381
2003,170402080604,1737.2519385237692
2003,170402080305,1995.66555174836
2003,170402080306,2351.503581584713
2003,170402080201,2434.2211841073754
2003,170402080203,2537.573928989883
2003,170402080202,2636.231859862915
2003,170402080204,3505.018668239009
2003,170402080208,3035.5861604938564
2003,170402080209,3751.388126960612
2003,170402080207,2730.17353101971
2003,170402080210,2731.0449383067485
2003,170402080301,3261.537351284997
2003,170402080303,2665.5616690710426
2003,170402080302,2153.4681166940413
2003,170402080304,2795.464638061523
2003,170402080307,2885.9863339488143
2003,170402080308,2396.368258308234
2003,170402080401,2488.471688778627
2003,170402080403,2776.6511227929964
2003,170402080205,2842.2547167138628
2003,170402080402,3136.7499364447767
2003,170402080404,2332.473571101947
