Year,UID,histogram
2019,101,"{31=54.0, 95=10448.580392156862, 11=5595.0, 52=919083.5019607855, 71=15946.592156862745, 24=37.0, 90=9886.203921568627, 42=307386.0117647058, 82=266397.8549019607, 81=33208.27450980392, 23=769.9019607843138, 41=54707.61960784314, 22=13447.607843137253, 21=20342.317647058826}"
2019,102,"{52=1025019.5372549008, 11=1092.0, 95=21991.4, 31=68.0, 71=30345.14117647059, 24=155.0, 90=4595.564705882353, 41=44075.97647058823, 82=244317.94509803923, 81=37899.26666666667, 23=4067.7333333333336, 42=221463.63529411767, 22=25664.909803921568, 21=29415.8431372549}"
2019,103,"{31=299.54901960784315, 95=27244.819607843136, 11=66234.59215686272, 52=653961.807843138, 71=119894.39607843137, 24=7530.278431372549, 90=67311.51764705882, 42=102010.72941176465, 82=288144.95686274517, 81=9213.086274509804, 23=27245.796078431373, 41=21462.83529411765, 22=64091.231372549024, 21=24357.698039215687}"
