Year,UID,histogram
2014,101,"{31=543.0, 95=10479.580392156862, 11=1763.0, 52=934170.3019607855, 71=11287.04705882353, 24=37.0, 90=9872.203921568627, 41=52532.61176470588, 82=271411.01568627445, 81=32932.364705882355, 23=760.9019607843138, 42=299060.662745098, 22=13784.713725490195, 21=18676.062745098043}"
2014,102,"{52=1027036.7843137244, 95=21717.4, 11=935.0, 31=68.0, 71=37823.87450980392, 24=148.0, 90=4617.564705882353, 42=215142.93725490198, 82=247567.968627451, 81=36973.17647058824, 23=4029.733333333333, 41=40860.75294117647, 22=25876.364705882355, 21=27374.396078431375}"
2014,103,"{52=657485.3490196085, 95=28268.290196078433, 11=59891.199999999946, 31=425.71372549019605, 71=118890.83921568625, 24=7574.0392156862745, 90=71193.16078431372, 42=99321.6666666666, 82=294300.82352941186, 23=26683.105882352942, 81=9646.992156862745, 41=19638.027450980393, 22=63926.81568627451, 21=21757.270588235293}"
