Year,UID,histogram
2009,101,"{31=18.0, 95=10762.580392156862, 11=5754.0, 52=980173.7450980408, 71=8181.474509803922, 24=33.0, 90=9825.203921568627, 41=51161.039215686265, 82=239566.36470588227, 81=31528.36078431373, 23=723.3333333333334, 42=288509.31764705875, 22=12933.156862745098, 21=18140.89019607843}"
2009,102,"{31=68.0, 95=22100.4, 11=1003.0, 52=1050866.9960784302, 71=51135.666666666664, 24=142.0, 90=4668.654901960785, 42=208476.36078431373, 82=222222.87843137258, 23=3775.733333333333, 81=36090.2705882353, 41=38132.015686274506, 22=25057.698039215684, 21=26432.278431372553}"
2009,103,"{31=134.69411764705882, 11=62985.18431372543, 95=27634.823529411762, 52=638229.1215686279, 71=141001.45882352942, 24=7521.717647058824, 90=69749.9843137255, 41=18112.015686274513, 82=298843.8392156863, 81=9066.905882352941, 23=26080.513725490197, 42=96593.78823529407, 22=61871.58039215686, 21=21177.66666666667}"
