Date,huc12,ppt,tmean,tmax,tmin
1999-01-01,170402080608,41.43359753161117,-1.6679522442073735,2.2837879819289,-5.619748134669719
1999-01-01,170402080102,48.821301670567884,-3.9728759062977943,0.21005219256039714,-8.15656913730961
1999-01-01,170402080104,74.40368007639525,-4.324542014835894,-0.45468170823331927,-8.195282127001098
1999-01-01,170402080106,48.24774461006149,-3.8940734486276605,-0.009556225129130028,-7.779312480464841
1999-01-01,170402080107,42.05199534892575,-3.843078696334931,0.5396120389716772,-8.226433140845128
1999-01-01,170402080105,40.66798183216518,-3.7091099065361606,0.6918481712314217,-8.110747566006403
1999-01-01,170402080108,43.29597063135273,-3.5066139362514153,0.9352064808961681,-7.948944141615684
1999-01-01,170402080211,68.08782417619985,-2.8172318516295443,1.339991010338647,-6.974833007847276
1999-01-01,170402080506,44.61212326669713,-2.0896653978649633,1.796804011870597,-5.976460558923377
1999-01-01,170402080602,51.158901844460864,-3.0039990177797216,0.9617069993889864,-6.970145948813998
1999-01-01,170402080603,60.87094687439497,-3.132899666769722,0.770506800073041,-7.036846397745247
1999-01-01,170402080605,37.44871923324776,-2.1655998153281812,1.79205939610228,-6.123522894583198
1999-01-01,170402080607,33.83011850916301,-2.084612753453734,1.8094011083830914,-5.978804983166108
1999-01-01,170402080606,34.314554890444946,-1.8384708631230782,2.088156923082949,-5.7652718881311005
1999-01-01,170402080507,47.93189065725792,-1.7314144124423023,2.146249391478786,-5.609264108694446
1999-01-01,170402080101,44.161497497556375,-4.055701276754877,0.22867166631422034,-8.340806316570111
1999-01-01,170402080103,69.96931198577222,-3.9703919815657724,-0.3213843412734756,-7.620223729854054
1999-01-01,170402080206,85.5446516533502,-4.223933557879141,-0.4086365267017041,-8.04006065032426
1999-01-01,170402080501,61.18977622773754,-2.8361201377685905,1.0907978635348246,-6.763579854850998
1999-01-01,170402080502,65.45717512109682,-2.8831879958658773,1.0153190547846798,-6.782178172685343
1999-01-01,170402080503,55.87734816099419,-2.164317516554361,1.8636472028562387,-6.192614295016759
1999-01-01,170402080504,86.5718017556134,-3.1800551131810284,0.6977153195012914,-7.058511072102158
1999-01-01,170402080505,64.52715965798001,-2.3843608588377077,1.5348231830668766,-6.303873817320881
1999-01-01,170402080601,59.1709812616591,-3.814916225127233,0.07226227939642049,-7.702769804651511
1999-01-01,170402080604,39.41341360675264,-2.7124303809118477,1.2110038962299465,-6.636217277406026
1999-01-01,170402080305,77.55336551646637,-2.2254512553223713,1.7095919087434186,-6.16084623988209
1999-01-01,170402080306,63.40155058774682,-2.016982803075481,2.144297514531499,-6.178574659235153
1999-01-01,170402080201,49.21196572095483,-4.513601119111971,0.3507450416320805,-9.37875489278877
1999-01-01,170402080203,52.121713300008366,-2.76835046045385,1.8897463254200457,-7.4269582235169365
1999-01-01,170402080202,36.6245266829861,-3.9731123229441487,1.168078443965991,-9.114878295287687
1999-01-01,170402080204,38.60074690384582,-3.4213579672504166,1.5496015613764234,-8.392820376491708
1999-01-01,170402080208,81.53721743225195,-2.959798005268924,1.3228871231201698,-7.243238946801987
1999-01-01,170402080209,91.00841044454944,-3.321816807041949,0.7958689523373895,-7.440097843886976
1999-01-01,170402080207,60.813453418616426,-3.098211396769601,1.1690345130069737,-7.366049839553401
1999-01-01,170402080210,59.50550437077015,-2.7668313215078184,1.5962416740667664,-7.130456417000343
1999-01-01,170402080301,85.3625286308196,-3.1563554474370403,0.8900559695984297,-7.203565009197787
1999-01-01,170402080303,64.13844234982508,-2.4754603583543484,1.8134929536732312,-6.764884761659314
1999-01-01,170402080302,50.894297440680326,-2.299774705166798,2.26654132895441,-6.866385157807286
1999-01-01,170402080304,80.18299953334811,-2.750173241856469,1.3316683023904998,-6.832512515500208
1999-01-01,170402080307,62.651648364567166,-2.5779933902913106,1.7670907426688134,-6.923566878844205
1999-01-01,170402080308,57.83304380708694,-2.1458238705685337,2.255839248779077,-6.547607814564424
1999-01-01,170402080401,57.33462669346655,-2.2426986157538,2.1037727595023132,-6.589495446486423
1999-01-01,170402080403,69.53945189428399,-2.5621415415962976,1.5962504064643779,-6.7209630211631035
1999-01-01,170402080205,43.16237477356476,-3.3149803424549993,1.334048471927086,-7.964420548554894
1999-01-01,170402080402,81.79850082189594,-2.71575162381542,1.2368744541674241,-6.668848220669493
1999-01-01,170402080404,71.5121965871559,-2.8285720723176957,1.2529150831995275,-6.910513204040255
1999-02-01,170402080608,37.751370222176135,-0.8710608197888152,3.8040501199895163,-5.546411184393102
1999-02-01,170402080102,68.721581775009,-3.6818209141492857,1.2730062204108648,-8.637314806763944
1999-02-01,170402080104,102.3097106288502,-4.1581772508049175,0.5283017634600096,-8.845474243947693
1999-02-01,170402080106,74.94554258788995,-3.74087416388542,0.871890001143773,-8.35435770088708
1999-02-01,170402080107,68.08536923125138,-3.5585764681002243,1.4829640538602689,-8.60079655907021
1999-02-01,170402080105,62.57236378928417,-3.377794149247083,1.7618627214070528,-8.518214197592302
1999-02-01,170402080108,66.86901073968619,-3.166034950249231,1.9607764161598966,-8.293500625756758
1999-02-01,170402080211,82.00328121443546,-2.3604929660267175,2.5776453266866004,-7.299152280903506
1999-02-01,170402080506,52.30054963203161,-1.506064305588922,3.1480559693928534,-6.160596436316815
1999-02-01,170402080602,64.32229021699146,-2.4686848692658723,2.3869049648085228,-7.3248982713540975
1999-02-01,170402080603,77.8062492909142,-2.7618393441479143,1.993104831404882,-7.517393671663977
1999-02-01,170402080605,37.90091782765961,-1.434631116866739,3.4720458391184357,-6.341785419484999
