Date,huc12,mean,25th,50th,75th
2019-01-01,170402080608,27.89597854046623,22.0,29.999999999999996,33.99999999999999
2019-01-01,170402080102,,,,
2019-01-01,170402080104,,,,
2019-01-01,170402080106,,,,
2019-01-01,170402080107,,,,
2019-01-01,170402080105,,,,
2019-01-01,170402080108,,,,
2019-01-01,170402080211,,,,
2019-01-01,170402080506,18.341222044698576,12.0,18.0,24.99999999999999
2019-01-01,170402080602,,,,
2019-01-01,170402080603,,,,
2019-01-01,170402080605,23.448689720490748,19.000000000000004,25.150422575988063,30.00000000000001
2019-01-01,170402080607,28.304743177787717,24.999999999999993,28.999999999999993,32.35338194607157
2019-01-01,170402080606,27.532393650532264,24.000000000000004,29.0,33.0
2019-01-01,170402080507,21.28510714061754,13.000000000000002,22.000000000000007,29.999999999999993
2019-01-01,170402080101,,,,
2019-01-01,170402080103,,,,
2019-01-01,170402080206,,,,
2019-01-01,170402080501,60.5,59.5,60.0,61.5
2019-01-01,170402080502,,,,
2019-01-01,170402080503,30.171348682315866,23.000000000000004,35.99999999999999,40.0
2019-01-01,170402080504,38.21923146802325,36.66158868335147,40.53528211109491,44.427771993753254
2019-01-01,170402080505,20.524056052848586,9.0,22.000000000000004,30.999999999999996
2019-01-01,170402080601,,,,
2019-01-01,170402080604,9.62118125675965,0.0,5.999999999999999,19.0
2019-01-01,170402080305,,,,
2019-01-01,170402080306,15.765863831428707,13.999999999999998,16.0,17.999999999999996
2019-01-01,170402080201,,,,
2019-01-01,170402080203,,,,
2019-01-01,170402080202,,,,
2019-01-01,170402080204,,,,
2019-01-01,170402080208,,,,
2019-01-01,170402080209,,,,
2019-01-01,170402080207,,,,
2019-01-01,170402080210,,,,
2019-01-01,170402080301,,,,
2019-01-01,170402080303,10.938843229060204,9.000000000000004,11.0,13.000000000000002
2019-01-01,170402080302,9.994767538902584,8.132627686709975,10.0,12.000000000000002
2019-01-01,170402080304,9.35938923419747,8.0,9.0,10.999999999999998
2019-01-01,170402080307,10.701121715773123,9.000000000000002,10.0,12.0
2019-01-01,170402080308,10.668670684340755,8.0,9.53119320896483,13.0
2019-01-01,170402080401,,,,
2019-01-01,170402080403,,,,
2019-01-01,170402080205,,,,
2019-01-01,170402080402,,,,
2019-01-01,170402080404,,,,
2019-02-01,170402080608,35.87914100129987,30.999999999999993,37.00000000000001,41.999999999999986
2019-02-01,170402080102,,,,
2019-02-01,170402080104,,,,
2019-02-01,170402080106,,,,
2019-02-01,170402080107,,,,
2019-02-01,170402080105,,,,
2019-02-01,170402080108,,,,
2019-02-01,170402080211,2.908724646206789,2.6682667718326916,2.6682667718326916,3.000000000000002
2019-02-01,170402080506,26.236057708392956,19.504026897511203,26.50752351159679,33.999999999999986
2019-02-01,170402080602,2.89051879467021,2.0,2.9999999999999996,4.0
2019-02-01,170402080603,2.476470976001974,2.2813351928694816,2.2813351928694816,3.0
2019-02-01,170402080605,20.275431626424258,6.0,20.000000000000004,32.99999999999999
2019-02-01,170402080607,29.117725936502218,22.021964520779786,30.23127036752059,38.00000000000001
2019-02-01,170402080606,36.130101420060576,32.429118892297474,36.68716065856708,40.0
2019-02-01,170402080507,24.33497269006195,16.0,25.999999999999996,33.000000000000014
2019-02-01,170402080101,,,,
2019-02-01,170402080103,,,,
2019-02-01,170402080206,,,,
2019-02-01,170402080501,75.75,74.5,75.0,77.0
2019-02-01,170402080502,,,,
2019-02-01,170402080503,37.423947135548936,29.0,44.0,50.0
2019-02-01,170402080504,47.474845566860466,43.99999999999999,50.0,56.00000000000001
2019-02-01,170402080505,24.732084566346302,13.0,25.438762583723026,36.00000000000001
2019-02-01,170402080601,,,,
2019-02-01,170402080604,5.316122303283596,2.0,3.000000000000001,5.0000000000000036
2019-02-01,170402080305,3.8085106382978724,4.0,4.0,4.0
2019-02-01,170402080306,5.90651060408135,2.0,2.0,2.999999999999998
2019-02-01,170402080201,,,,
2019-02-01,170402080203,,,,
2019-02-01,170402080202,,,,
2019-02-01,170402080204,,,,
2019-02-01,170402080208,,,,
2019-02-01,170402080209,,,,
2019-02-01,170402080207,,,,
2019-02-01,170402080210,2.5768059206444116,2.0,2.0,3.0
2019-02-01,170402080301,1.3778781127909514,1.0,1.0,2.0
2019-02-01,170402080303,11.676827161803995,2.0,2.9999999999999996,22.999999999999996
2019-02-01,170402080302,12.058836017737423,2.0049430311414356,5.0,22.000000000000004
2019-02-01,170402080304,13.367517464734702,2.0,13.0,22.999999999999996
2019-02-01,170402080307,5.735086048497967,2.103192212742968,2.103192212742968,2.103192212742968
2019-02-01,170402080308,13.946541123256189,2.0,14.980257895441234,23.0
2019-02-01,170402080401,5.194991790855775,2.0,3.0000000000000004,3.0000000000000004
2019-02-01,170402080403,2.7625655603436967,2.0,2.9999999999999973,2.9999999999999973
2019-02-01,170402080205,,,,
2019-02-01,170402080402,2.616651034880807,2.0,3.000000000000001,3.000000000000001
2019-02-01,170402080404,2.7092493052968347,2.0,3.0000000000000018,3.0000000000000018
2019-03-01,170402080608,37.07411294181333,25.0,34.99999999999999,42.999999999999986
2019-03-01,170402080102,20.527707542361256,18.000000000000004,20.24484055983813,23.20616936950503
2019-03-01,170402080104,22.993618372380347,20.0,23.23994753989553,25.999999999999996
2019-03-01,170402080106,19.10820545868753,14.999999999999998,19.497602990024404,23.48673225315919
2019-03-01,170402080107,19.881769408880515,16.999999999999996,19.00000000000002,22.000000000000007
2019-03-01,170402080105,20.63848194484964,17.444408967768663,21.000000000000007,23.719526727683558
