Date,huc12,mean,25th,50th,75th
2023-06-01,170402080105,143.16330980665558,126.99999999999997,146.2135261116716,162.00000000000003
2023-06-01,170402080108,136.77658632962277,114.00000000000006,142.0,161.00000000000003
2023-06-01,170402080211,144.50931014656408,131.0,150.56926396621444,162.0
2023-06-01,170402080506,104.2261452837106,76.00000000000001,103.99999999999999,134.0
2023-06-01,170402080602,108.73019289464162,75.00000000000001,115.00000000000003,144.22880478960846
2023-06-01,170402080603,131.29802000704967,105.00000000000003,151.98657664197174,163.34228841634027
2023-06-01,170402080605,91.86730147380769,49.31431554864136,83.22321500587007,139.99999999999997
2023-06-01,170402080607,131.1882315909171,104.07130165089005,147.0,167.45316982267187
2023-06-01,170402080606,135.16023852156133,115.32671273969123,146.3342528983759,164.00000000000006
2023-06-01,170402080507,93.62554290958877,66.00000000000001,88.0,119.99999999999999
2023-06-01,170402080101,139.25830827547745,126.20473657664266,142.99999999999997,156.00000000000003
2023-06-01,170402080103,166.773560995445,163.99999999999991,168.99999999999994,173.0
2023-06-01,170402080206,160.62536214674134,158.47671369200145,163.00000000000009,167.35681261009313
2023-06-01,170402080501,136.31356170242847,119.0,146.99999999999997,162.0
2023-06-01,170402080502,138.6735022875055,121.99999999999997,151.00000000000003,164.99999999999997
2023-06-01,170402080503,103.44054414248178,73.00000000000001,108.99999999999997,138.0
2023-06-01,170402080504,141.25284947233075,124.52319228394151,151.16458422773204,168.23491415647766
2023-06-01,170402080505,88.28799241857557,55.18633920995569,86.99999999999999,120.07334710121808
2023-06-01,170402080601,137.02192982247396,119.99999999999999,142.99999999999991,161.42302895883017
2023-06-01,170402080604,75.82755618793199,35.0,64.0,117.00000000000003
2023-06-01,170402080305,138.79363521816995,120.00000000000003,142.99999999999991,161.02850581236117
2023-06-01,170402080306,138.56018767909308,117.99999999999997,142.0,163.0
2023-06-01,170402080201,121.08227595090409,100.99999999999999,126.00000000000003,143.0
2023-06-01,170402080203,152.76319807603554,138.99999999999997,156.99999999999997,170.0
2023-06-01,170402080202,125.72563267570548,105.00000000000003,131.0992209588512,147.99999999999997
2023-06-01,170402080204,124.13622995214229,100.00000000000001,121.99999999999999,148.99999999999994
2023-06-01,170402080208,164.85853118087124,157.0,169.99999999999997,176.99999999999994
2023-06-01,170402080209,169.1529404307686,166.0,173.0,176.99999999999997
2023-06-01,170402080207,157.82003597731835,148.0,163.11258116151626,173.27390875084427
