Date,huc12,mean,25th,50th,75th
2001-04-01,170402080505,67.22268450982814,60.43456507470287,68.45514603830613,75.42367599635514
2001-04-01,170402080601,40.96553853660435,32.0,39.00000000000001,50.00000000000001
2001-04-01,170402080604,63.975133086512315,56.00000000000001,60.99999999999997,68.00000000000001
2001-04-01,170402080305,45.908266035619064,39.56085740069933,47.49966439138631,52.503827883403424
2001-04-01,170402080306,47.03891249641307,35.999999999999986,42.000000000000014,55.000000000000014
2001-04-01,170402080201,45.15915047432291,34.00000000000002,43.00000000000001,57.000000000000014
2001-04-01,170402080203,43.40361415210865,37.00000000000001,42.999999999999986,49.99999999999999
2001-04-01,170402080202,43.658565600353164,35.986576885115035,42.466613946233316,50.49022225253577
2001-04-01,170402080204,48.76509572029665,39.99999999999999,47.265868235137646,56.27040062006822
2001-04-01,170402080208,40.015250442081346,30.999999999999993,38.0,46.0
2001-04-01,170402080209,46.2631389358648,35.02633175585486,44.999999999999986,56.00824210037701
2001-04-01,170402080207,50.13125347116336,40.442855459013835,50.56568715667281,59.0
2001-04-01,170402080210,45.16286067227896,34.00000000000001,42.869745185196514,56.555274563277244
2001-04-01,170402080301,55.393793748745544,49.50294537762554,53.83893972567363,61.00000000000001
2001-04-01,170402080303,50.911008054387636,45.4786828177769,50.0,57.472121878435686
2001-04-01,170402080302,50.95738263735843,43.55736603829908,48.99999999999998,56.49433253571351
2001-04-01,170402080304,53.213638099102354,45.000000000000014,52.00000000000001,60.0
2001-04-01,170402080307,54.516808624088306,44.0,53.203619033775645,63.00000000000002
2001-04-01,170402080308,59.22053078348186,49.85490113017112,58.49089704259843,67.42886726946378
2001-04-01,170402080401,60.78582407224278,51.495890072067304,60.99997465106064,69.47042317454672
2001-04-01,170402080403,62.09736026974281,56.99999999999999,64.0,70.0
2001-04-01,170402080205,48.506853620876086,38.00000000000001,48.43726801879545,61.546083411535875
2001-04-01,170402080402,47.57534268368443,33.0,47.00000000000001,60.00000000000001
2001-04-01,170402080404,60.170489378050405,54.99999999999999,62.337181616429554,69.377057046854
2001-05-01,170402080608,124.28770295867595,70.0,109.00000000000003,203.99999999999994
2001-05-01,170402080102,93.9178678296279,86.40007612044718,96.17677662898087,102.5053859579335
2001-05-01,170402080104,96.98522138202162,89.00000000000006,98.99999999999997,108.0
2001-05-01,170402080106,92.0752782065071,85.00000000000003,95.0,103.46517139533844
2001-05-01,170402080107,84.88064726721039,69.00000000000001,86.99999999999999,100.99999999999999
2001-05-01,170402080105,89.62955507486872,73.92099251581843,89.45136600784667,101.00000000000001
2001-05-01,170402080108,84.3991029836146,64.0,84.00000000000001,102.00000000000004
2001-05-01,170402080211,96.15816416633035,81.99999999999999,97.0,111.0
2001-05-01,170402080506,92.57667734130955,76.0,95.62018001967873,110.45243993777726
2001-05-01,170402080602,81.76528396139341,69.0,81.0,95.2648496599516
