Year,huc12,histogram
2014,170402080608,"{52=29139.796078431384, 11=58887.670588235225, 95=6546.247058823528, 31=303.78431372549016, 71=4452.541176470588, 24=97.45882352941175, 90=21075.427450980405, 42=72.31764705882352, 82=90592.18431372567, 81=2748.160784313726, 23=2148.7882352941187, 41=2.0, 22=11443.58431372549, 21=3883.952941176471}"
2014,170402080102,"{71=2936.04705882353, 90=1600.0, 21=573.2078431372549, 82=1105.7607843137255, 42=6135.976470588235, 81=422.0, 41=9901.729411764705, 22=22.2, 95=2310.4627450980392, 52=88313.20392156858}"
2014,170402080104,"{71=8.0, 90=1947.6313725490197, 41=4443.066666666666, 82=375.5372549019608, 42=24198.756862745107, 81=3393.8862745098036, 95=359.32156862745103, 22=59.61176470588235, 21=303.43529411764706, 52=48102.27058823537}"
2014,170402080106,"{71=358.356862745098, 90=450.0, 21=739.8941176470587, 22=161.55686274509807, 82=5306.062745098039, 41=5797.023529411765, 81=2968.0509803921573, 42=3386.003921568627, 11=121.0, 95=359.0980392156863, 52=57567.000000000044}"
2014,170402080107,"{71=2195.784313725491, 90=318.09019607843135, 21=1207.8823529411761, 82=19794.564705882356, 41=4912.133333333333, 81=1462.1450980392158, 42=5028.678431372549, 22=415.85490196078433, 95=404.18039215686275, 52=67159.3999999999}"
2014,170402080105,"{52=61758.89411764707, 95=1618.6588235294118, 11=1538.0, 31=543.0, 71=2384.9333333333334, 90=230.0, 42=1136.0588235294117, 82=12358.78431372549, 81=7400.850980392152, 23=14.0, 41=2239.450980392157, 22=355.10196078431375, 21=1099.6078431372548}"
2014,170402080108,"{95=1297.3529411764705, 11=4.0, 52=75410.54901960786, 71=418.2941176470589, 24=2.0, 90=409.3921568627451, 23=17.0, 82=24012.796078431376, 81=12155.0, 41=2058.513725490196, 42=9154.541176470586, 22=820.7529411764706, 21=2021.466666666667}"
2014,170402080211,"{95=545.2941176470589, 11=55.0, 52=108689.69019607852, 71=7760.7058823529405, 24=33.964705882352945, 90=1547.0980392156862, 42=23356.180392156846, 82=11538.768627450983, 81=6227.580392156861, 23=545.0, 41=5861.996078431373, 22=5067.992156862743, 21=2394.5333333333338}"
2014,170402080506,"{71=2068.576470588235, 24=1657.7960784313727, 90=255.4313725490196, 11=11.0, 81=213.5137254901961, 82=2611.8745098039217, 42=4065.537254901961, 23=8955.572549019602, 41=2626.1294117647058, 22=12570.376470588237, 21=3245.3098039215693, 52=51032.686274509804}"
2014,170402080602,"{71=22873.666666666668, 90=861.6941176470589, 95=353.01960784313724, 41=734.2470588235294, 82=4712.329411764707, 81=482.7725490196078, 23=1.0, 42=4470.745098039217, 22=532.8901960784315, 21=1028.443137254902, 52=78164.06274509802}"
2014,170402080603,"{71=4225.4117647058865, 90=3822.298039215687, 21=776.7686274509804, 82=10029.031372549016, 41=7385.470588235295, 81=1091.2117647058824, 42=21527.772549019603, 22=203.51372549019607, 95=349.9686274509804, 52=65032.48627450983}"
2014,170402080605,"{95=333.48627450980393, 11=177.0, 52=87707.32549019602, 71=32322.61568627452, 24=78.0, 90=1031.4470588235295, 23=743.2235294117646, 82=64734.72156862742, 42=111.54509803921569, 81=1692.1450980392158, 41=132.06666666666666, 22=8336.12549019608, 21=2596.886274509804}"
2014,170402080607,"{71=5778.525490196074, 24=13.0, 90=25931.039215686273, 31=12.219607843137256, 11=558.2274509803922, 82=52141.75686274512, 81=229.90980392156862, 23=58.87843137254902, 21=1498.035294117647, 22=4827.556862745096, 95=9746.4, 52=23763.84705882351}"
2014,170402080606,"{71=167.98823529411766, 90=11736.227450980388, 11=24.58823529411765, 42=54.0, 82=43701.64705882351, 81=925.4274509803923, 23=46.227450980392156, 21=821.9098039215685, 22=3304.98431372549, 95=7795.505882352942, 52=11960.360784313725}"
2014,170402080507,"{52=48683.68627450979, 11=213.8862745098039, 95=2854.266666666667, 31=107.70196078431373, 71=6433.486274509801, 24=5007.572549019607, 90=4730.545098039215, 42=293.0, 82=9999.878431372548, 81=1117.650980392157, 23=11221.615686274507, 41=423.0078431372549, 22=11339.537254901965, 21=2038.7372549019615}"
2014,170402080101,"{71=97.0, 90=546.0, 81=5.0, 11=6.0, 82=3416.1529411764704, 95=1713.7686274509804, 41=2306.8039215686276, 42=277.6392156862745, 22=69.78823529411764, 21=1427.258823529412, 52=98562.12549019611}"
2014,170402080103,"{90=763.0901960784314, 21=68.0, 42=21901.8431372549, 41=3431.16862745098, 22=2.0, 95=7.0, 52=15570.862745098051}"
2014,170402080206,"{71=68.0, 90=689.6078431372549, 95=22.0, 41=3610.4470588235295, 42=44194.70980392162, 22=234.38039215686274, 21=462.77647058823527, 52=35665.345098039266}"
2014,170402080501,"{71=26.45098039215686, 24=1.0, 90=730.2431372549021, 21=905.156862745098, 41=14350.968627450979, 82=5022.0, 81=39.0, 23=13.0, 42=18521.937254901957, 22=1056.2588235294115, 95=23.0, 52=74856.07058823534}"
2014,170402080502,"{71=225.46274509803922, 24=2.772549019607843, 90=196.67058823529413, 21=1089.0392156862747, 41=1978.713725490196, 82=1279.5725490196075, 81=680.113725490196, 23=104.2156862745098, 42=12900.062745098032, 22=926.1843137254905, 95=26.0, 52=29046.5137254902}"
2014,170402080503,"{31=68.0, 95=435.32941176470587, 11=9.0, 52=95666.87058823525, 71=5775.509803921569, 24=33.227450980392156, 90=436.72549019607845, 42=4203.270588235294, 82=1814.8901960784312, 81=2737.250980392157, 23=910.6823529411765, 41=3268.372549019608, 22=3130.709803921569, 21=1251.8666666666668}"
2014,170402080504,"{71=1210.2470588235294, 90=733.8666666666667, 81=376.2352941176471, 82=625.0823529411765, 42=42000.58431372548, 23=33.956862745098036, 41=5207.298039215686, 22=1744.7843137254904, 21=980.8156862745097, 52=87018.39215686277}"
2014,170402080505,"{11=6.0, 95=24.0, 52=62337.41960784311, 71=8981.76078431374, 24=720.1333333333333, 90=112.0, 42=7589.023529411767, 82=846.2549019607842, 23=3473.4039215686275, 81=696.8705882352941, 41=1019.5882352941177, 22=9197.035294117642, 21=3310.8313725490193}"
2014,170402080601,"{71=7118.796078431373, 90=886.7372549019608, 21=1104.192156862745, 22=190.08627450980393, 42=18917.976470588248, 82=1413.0, 41=2092.772549019608, 81=73.0, 52=73079.4705882353, 95=264.0, 11=13.0, 31=2.0}"
2014,170402080604,"{71=23256.17647058822, 90=15.0, 82=12889.666666666664, 41=8.0, 42=11.0, 22=236.0078431372549, 21=473.28235294117644, 52=39413.89411764708}"
