Date,UID,et_crop_25th,et_crop_50th,et_crop_75th,et_crop_mean,et_non_crop_25th,et_non_crop_50th,et_non_crop_75th,et_non_crop_mean
2008-01-01,101,2.5,11.0,23.0,12.25,1.0,10.0,24.642083734359957,12.841832100206261
2008-01-01,102,5.0,6.000000000000001,10.0,8.317553556909928,0.0,10.0,26.000000000000004,13.26754369778867
2008-01-01,103,3.0,5.99139373386325,9.000000000000002,6.610212181981804,0.0,5.042843180433686,11.000000000000004,6.487375480474589
2008-02-01,101,7.0,11.0,14.0,11.088152324256603,4.0,8.414150506106697,19.0,13.897512700893715
2008-02-01,102,11.0,15.0,16.0,15.476955443468027,8.0,15.0,17.46508121989047,15.376593168804797
2008-02-01,103,14.999999999999998,29.0,32.0,24.64234344180217,14.32275280338602,24.47390696940791,30.60084831568184,22.4739397581366
2008-03-01,101,0.0,1.0,2.0,8.151664250240248,1.0,2.0,2.0,7.631223214772044
2008-03-01,102,2.0,17.0,57.0,28.107702274370222,2.0,2.0,46.0,23.190745905507658
2008-03-01,103,59.99999999999999,70.46242194864568,73.6551592689072,64.85537312852951,52.000000000000014,69.00606222539056,73.0,59.06158831278474
2008-04-01,101,2.9999999999999996,48.00000000000001,95.0,52.60135658411816,32.0,67.43205968339923,105.32457012409276,67.22286465277404
2008-04-01,102,61.0,109.0,130.0,91.05969112017596,42.12766044523172,87.76021718668459,115.00000000000001,77.72914368073796
2008-04-01,103,78.00760062611222,112.0,129.99999999999997,100.23659063259936,45.584735543950465,81.22972487887206,114.86961558863706,79.17661415105765
2008-05-01,101,28.0,47.0,66.39155814586752,48.52080618815191,49.16851745340412,76.99999999999999,110.20880530612912,79.32013898980509
2008-05-01,102,45.0,64.26934902503596,85.00000000000001,67.56029196560529,48.0,75.00000000000003,106.44404581969981,77.37235424781069
2008-05-01,103,45.000000000000014,92.44069950681818,139.0,90.07498354256292,37.85794162868129,71.4738501358262,108.4692776016645,74.81862231604167
2008-06-01,101,43.0,76.42245838113034,108.00000000000003,75.4757059611446,83.55709298606976,113.21651577098113,137.0,108.63080084296062
2008-06-01,102,35.0,70.26747953867215,110.0,73.11017205011346,62.1217303735187,98.00000000000003,131.55493613312095,95.26307388846564
2008-06-01,103,96.0,126.99999999999999,163.00000000000003,125.47237440076053,65.23595450678192,105.3453149105406,139.00000000000006,103.11566162179226
2008-07-01,101,39.347537671629496,88.38608014884686,142.0,91.5664722526778,57.261885505824765,104.00000000000003,142.44164759059515,100.07604178579177
2008-07-01,102,14.0,41.0,111.0,63.397029237207406,32.0,77.0,128.3107954228471,81.93427656660965
2008-07-01,103,123.04361738630833,166.4862521978125,183.00000000000003,147.22992017205954,53.54084102035929,97.3733805046513,146.24746766401745,100.71229395763633
2008-08-01,101,45.00000000000001,78.99999999999999,113.0,77.9517573165729,43.00000000000001,77.57324101807494,109.52905176622194,76.6292879411912
2008-08-01,102,20.0,43.0,85.0,54.316919099525386,33.43324885481273,61.53755430726915,95.5146766701114,64.58096130651035
2008-08-01,103,59.01359886630695,90.0,114.4815127876388,86.61422024741998,34.516095092630025,69.49308343768216,107.6924169145951,72.91056423017253
2008-09-01,101,6.000000000000002,16.009888285948772,35.38827158370315,23.337061144879172,12.869449531132314,33.01522053806051,59.16661178012191,37.619297570738745
2008-09-01,102,6.254185388951901,18.341682045336814,40.0,26.897463486447176,10.0,26.20752219780785,50.000000000000014,31.97882906579169
2008-09-01,103,23.999999999999996,41.813540624865006,62.00000000000001,44.458207277426844,16.092571177047276,37.99999999999999,63.00000000000002,42.33368187802594
2008-10-01,101,6.8883241039631375,10.479709336943865,16.0,12.155061051492194,9.585265876889414,16.342107315227246,24.0282706594881,17.52993486850049
2008-10-01,102,6.446709433443183,11.215087891910908,20.0,13.630709078641749,5.330463994290057,12.000000000000004,19.419944128976105,13.801018000836654
2008-10-01,103,14.003959019174342,21.0,28.42655851312424,21.008877824580587,14.484047195661741,22.69331403091623,30.07377458902498,22.36528172768836
2008-11-01,101,4.447602695830762,6.7668857100157735,10.0,7.089041004280258,2.2360152956404975,6.2879374621428274,10.594677913361801,7.397901599170931
2008-11-01,102,4.0,7.0,10.0,6.991082929973954,1.0,4.276013167591535,8.290385774605753,5.788724811709474
2008-11-01,103,6.015988354365048,10.481247486594736,13.009081459024612,9.71111322606876,2.0673854168931336,6.7193249441906255,10.610626897926394,7.131880902637317
2008-12-01,101,5.000000000000001,8.0,10.000000000000002,7.421195615508785,1.0,7.000000000000003,13.532290470683648,8.583346161073615
2008-12-01,102,1.0,4.0,9.000000000000002,5.822913194737715,0.0,3.000000000000002,12.044746925607896,6.549668809460372
2008-12-01,103,6.470459048697278,10.0,14.43670743521499,10.231540944918793,0.0,4.311095029909764,11.45674090031878,6.4761817341375725
