Date,UID,et_crop_25th,et_crop_50th,et_crop_75th,et_crop_mean,et_non_crop_25th,et_non_crop_50th,et_non_crop_75th,et_non_crop_mean
2020-01-01,101,0.0,0.0,1.0,0.7876645764815567,0.0,1.0,3.0000000000000018,2.638387589922128
2020-01-01,102,0.0,0.0,1.0,0.8799112596193495,0.0,1.0,3.000000000000003,2.4749330843035815
2020-01-01,103,1.0,2.000939678249073,4.0,2.8119951546593263,1.0,2.3619376035980832,5.057687790274991,3.999649393499331
2020-02-01,101,0.0,1.0,2.0,1.4768294960486859,1.0,4.176208031263259,6.454110748724623,4.524417064738861
2020-02-01,102,3.0,5.246006957267605,9.0,6.412453558707973,4.432711581851945,6.504650335005784,9.531188653792395,6.959967653333293
2020-02-01,103,4.011254274895355,7.000000000000002,10.740970560088595,8.062642171748555,2.3916853391410893,4.468805494200254,8.131382072428245,6.460255020185697
2020-03-01,101,14.434282847964823,20.3642224417094,26.0,21.28688581131649,10.526406772903028,17.291062802224328,23.28891386766016,17.531523707896174
2020-03-01,102,23.0,30.382776636601637,39.0,30.99870369629889,10.473725626508003,19.17114381311249,26.70016205808208,19.867037631523964
2020-03-01,103,16.0,25.000000000000004,35.467101779322356,25.970411051318827,5.0131617858567346,12.452439996904365,24.355025066623103,16.16951352875848
2020-04-01,101,51.0,61.71573179371995,73.0,62.37203936854841,27.718947709839856,39.28097148231607,53.03732307224375,41.26153050628083
2020-04-01,102,50.0,63.0,75.0,62.50003851324588,23.00237889183328,36.335596443713584,51.702905720042864,38.65255408438647
2020-04-01,103,38.99999999999999,59.00000000000001,81.00000000000001,59.626667828445896,17.26819914666108,30.369299282574808,47.25881536650338,36.48547233342955
2020-05-01,101,57.454146647900494,77.00000000000001,106.00000000000001,81.80142423704807,54.4693832818723,76.19576168024126,98.36692381543787,76.95978360799262
2020-05-01,102,52.0,81.00000000000001,112.0,82.27877802621691,38.59873925745738,64.5902842399874,90.49795847509513,66.1650551903781
2020-05-01,103,42.99999999999999,83.0,128.0438731904142,84.72414973171281,24.08404437736639,51.64543851803394,84.09685581850762,58.734832480604
2020-06-01,101,96.0055490521226,118.00000000000001,137.00000000000003,115.02535474736712,80.90003344492382,106.9868238208253,130.64101587072787,105.94897163578825
2020-06-01,102,84.38536229898229,111.0,130.0,106.5799723563832,64.11193069869627,94.31074058650587,122.45614492703154,92.49264345800985
2020-06-01,103,88.00000000000003,120.46443376448163,149.48847397994942,115.15893524834695,31.000000000000004,73.99093948192473,116.36939678417887,77.71662923295479
2020-07-01,101,125.35082976259982,160.48852535500816,187.50246059884532,152.586610227098,100.6497034773503,136.5008579081201,166.5484986581684,132.85305050852924
2020-07-01,102,82.48394081559005,122.508982992152,156.50802561406323,118.88728828831947,66.4993270527946,104.49991768097972,146.49873659346673,105.46929466986316
2020-07-01,103,126.4889551186423,168.5155657050535,190.4970368743331,155.27463206938668,44.50982536996363,96.49552341384923,156.49972777337217,103.5202693082182
2020-08-01,101,84.50805919318242,126.50754080369417,156.83281044758294,121.29922687117563,56.49921713836458,88.49995209268039,122.50158176952702,91.11598047119553
2020-08-01,102,50.50112056418944,88.48585184203233,136.48916386633655,94.68618703218998,32.5067715080952,62.495682714193734,102.4903584816591,71.19744082479681
2020-08-01,103,72.51187064096473,104.4971424752122,150.4889489061277,113.65565097083724,22.49133079420053,62.50043408038173,120.47121888192117,81.07585417404988
2020-09-01,101,41.50016439794821,55.4274593640554,77.00000000000001,61.765051510273324,18.780591037496844,34.76352301286155,54.923811573852866,39.62778882284376
2020-09-01,102,31.0,53.217859809375184,89.0,63.11826983183239,12.528554323737824,27.053834492864432,46.536430181777334,33.96344682269709
2020-09-01,103,36.004036676932536,55.0,76.99999999999999,60.14767870518179,5.017275551981865,20.368979793675596,46.99999999999999,35.20439882857056
2020-10-01,101,15.000000000000002,23.40177695980434,37.35453817182669,27.82432508504365,5.430037773895958,13.348982285342936,25.373101057613937,18.305913042379895
2020-10-01,102,14.0,26.000000000000004,47.00000000000001,32.092566546987996,4.426086615741352,11.157268782860326,24.000000000000004,16.7836575225485
2020-10-01,103,21.0,36.438621625095855,57.46809996719076,40.126437760711376,2.4600540381127005,12.297853756631019,32.25134853826147,21.426185313735704
2020-11-01,101,6.000000000000001,11.418744845363932,18.0,12.662003020466678,2.0,6.561682994612936,14.41839619960249,10.037236102023707
2020-11-01,102,8.0,13.381476385674384,22.0,15.725981969593974,1.0,6.00028198665757,14.486790315402532,9.619139887239873
2020-11-01,103,5.465598519185698,11.457067021249083,18.000000000000007,12.445237344007694,0.0,2.3119626903254153,11.504897229431853,7.880373512254589
2020-12-01,101,1.0,2.0,5.0,2.9777385594880164,1.0,4.386264309881748,7.000000000000002,5.510098914438851
2020-12-01,102,1.0,3.0,5.322953061797588,3.605059298916089,1.0,4.270257143443192,8.2924986296727,5.822495019050032
2020-12-01,103,0.0,2.396576757327072,4.31401382743173,3.202464421166884,1.0,5.280688050855902,12.0234094285078,7.5240618637602115
