Date,UID,et_crop_25th,et_crop_50th,et_crop_75th,et_crop_mean,et_non_crop_25th,et_non_crop_50th,et_non_crop_75th,et_non_crop_mean
2018-01-01,101,7.000000000000002,12.003550524658527,22.000000000000004,14.198188407563576,6.273700704455436,10.000000000000002,21.447165044002986,13.310830980073257
2018-01-01,102,21.0,24.0,27.287197229431527,21.735093280698727,18.0,22.381190788088098,26.0,20.295394728194083
2018-01-01,103,19.488180368155575,19.488180368155575,22.387032920465636,20.040996308547058,17.8751706990344,20.0,22.04934081986264,19.61546665258691
2018-02-01,101,18.0,21.000000000000007,23.0,18.577010415389573,16.0,20.415508525522196,22.0,18.320476812978807
2018-02-01,102,16.0,20.000000000000004,23.0,18.653134001752477,15.000000000000002,18.999999999999996,22.306611351997326,18.128582933778166
2018-02-01,103,12.38225465046244,16.410564748429138,19.899541265314017,16.287863903575914,8.0,14.454181506735706,19.0,13.747443086388806
2018-03-01,101,21.0,56.54728823273138,58.00000000000002,44.350624336336764,50.65693356128603,56.00000000000001,57.308469912112535,46.35826511598033
2018-03-01,102,51.0,54.00000000000001,56.259127928410294,47.515275598134984,50.0,54.00000000000001,56.26542425553453,46.43791073454441
2018-03-01,103,42.00000000000001,46.74742423636825,52.00000000000004,44.72290280583245,21.0,45.506296075159966,51.31750373182792,37.95518228607993
2018-04-01,101,52.47296817415543,60.0,68.0,60.997133778261045,51.48260604552249,62.015447521463415,70.0,60.793743944786556
2018-04-01,102,53.0,65.0,78.0,65.85235312379744,54.005540357453896,66.2445401466524,77.3504355649197,65.83691408989472
2018-04-01,103,45.00796069640748,60.0,82.46762836104133,64.33786936182422,55.0,65.0,75.0,64.78148031925262
2018-05-01,101,80.44860518081697,97.00000000000001,125.67018229735682,101.18501610742493,88.44777136774982,109.00000000000001,123.99999999999999,105.29610441090172
2018-05-01,102,87.65652095487307,113.0,135.0,110.32582818780418,93.00000000000001,110.00000000000001,126.99999999999999,109.18104471013378
2018-05-01,103,82.0,119.01256716851431,139.55546994780602,112.29426109644052,93.0,110.35468983772587,124.29473693365398,108.3484756352219
2018-06-01,101,114.72804649061011,141.0,160.0,132.62326884026646,102.00000000000001,127.00000000000001,149.33471818922104,120.19566365113812
2018-06-01,102,105.99999999999999,136.0,155.0,126.8300893887306,85.0,119.08770437180685,147.00000000000003,114.72470250841286
2018-06-01,103,129.99999999999997,151.00000000000003,171.00000000000003,146.87559409796808,90.0,119.00000000000001,142.0,113.3654048340378
2018-07-01,101,109.49296174367124,150.00000000000003,182.0,140.91764449274729,67.3640371813044,109.0,148.0,106.75201196449129
2018-07-01,102,82.00000000000001,115.0,162.0,117.49657902881958,42.0,92.0,136.0,94.98585474916297
2018-07-01,103,119.00240345340568,158.0,196.51019788280632,153.143240310391,57.0,103.0,136.0,100.18016746485273
2018-08-01,101,67.0,86.00000000000001,124.50920638933215,95.0354640848801,41.00000000000001,74.0,104.0,77.59468325059767
2018-08-01,102,58.0,75.0,116.0,85.65080697596555,32.32336426101161,66.31628914616616,97.34509516910876,71.29910508139903
2018-08-01,103,55.99999999999999,73.01431664537836,133.99999999999997,92.40533961245846,36.0,64.0,92.0,68.9115867423597
2018-09-01,101,29.479502786537715,39.41029474602485,71.97982362757507,53.660167838449226,19.0,40.0,65.0,46.568822187073735
2018-09-01,102,29.0,44.36339292787521,93.0,59.30404555349656,15.000000000000002,38.0,65.0,46.26856668158086
2018-09-01,103,29.44430934450282,38.026195875887154,58.82580494426025,49.55318993445982,18.0,35.00000000000001,55.0,41.18165424745266
2018-10-01,101,39.83993107559651,43.0,50.01957083211962,45.278414084885995,38.66441709661097,42.595699708001014,49.37063561998487,43.940229306597764
2018-10-01,102,45.311105178473305,50.000000000000014,55.25950621496058,51.007240802506246,41.99999999999999,47.0,52.05201324331622,47.652379075602965
2018-10-01,103,36.0,41.00000000000001,46.99999999999999,42.46261893220812,33.41573908239508,41.00000000000001,45.5564543487252,40.723236048505775
2018-11-01,101,18.0,20.460211253315425,22.494563559650754,20.164751624426266,16.0,20.28645615019342,22.461553598353,19.391163430264285
2018-11-01,102,17.0,20.027577327236198,22.289148735800712,20.348673591534872,17.44603172768215,20.284347178371725,22.000000000000007,19.762730267849026
2018-11-01,103,14.999999999999998,16.32588402079907,23.425218416195015,19.119904150103217,14.287344469951034,16.006673469946964,19.426420883183745,16.90752636478798
2018-12-01,101,9.0,10.000000000000004,12.0,10.587845171444153,9.346544679282182,10.44400164250772,12.278084926885658,11.07570662157414
2018-12-01,102,11.0,13.0,14.0,12.649566665331585,11.045296502444538,12.453072677444036,15.000000000000002,13.180030051114194
2018-12-01,103,8.016459320560354,11.000000000000002,12.363086611033935,10.489563917262677,6.508913774743834,11.026437361359159,12.078578244891151,9.205564288038577
