Year,huc12,histogram
2021,170402080608,"{33=117.43137254901961, 29=1391.0, 4=8.0, 111=68278.19607843137, 37=1340.9529411764704, 53=2.0, 59=58.0, 28=28.31764705882353, 61=4528.533333333332, 24=30719.380392156836, 141=6.0, 195=1988.113725490196, 152=32112.36470588236, 23=10454.572549019613, 190=19713.223529411767, 21=2268.2078431372543, 35=52.0, 122=4955.3568627451, 142=21.0, 6=4.0, 225=2.0, 176=2000.2901960784313, 1=3056.1607843137253, 205=82.0, 121=8006.482352941171, 36=18101.54509803922, 131=103.81960784313725, 43=18267.419607843156, 42=41.0, 123=2323.1725490196086, 44=4.0, 41=1037.4196078431369, 124=321.9529411764707}"
2021,170402080102,"{33=2.0, 35=2.0, 142=11436.933333333334, 122=10.407843137254902, 37=365.721568627451, 131=1.0, 143=12.0, 176=509.11764705882354, 121=913.0470588235294, 195=904.7411764705882, 36=3117.6666666666665, 32=11.0, 61=297.4392156862745, 28=7.0, 141=4126.568627450981, 24=15.0, 59=4.0, 205=2.0, 152=90910.76862745095, 23=23.0, 123=3.0, 190=523.0, 21=123.17647058823529}"
2021,170402080104,"{33=3.0, 35=1.0, 122=11.145098039215686, 142=25229.90588235294, 111=1.0, 37=377.121568627451, 176=141.15686274509804, 205=1.1215686274509804, 59=2.0, 28=1.0, 143=237.06666666666666, 141=6840.850980392156, 61=17.501960784313724, 121=529.5803921568627, 24=5.0, 195=339.36470588235295, 36=3178.113725490196, 152=45842.717647058904, 123=10.647058823529411, 23=25.992156862745098, 124=2.0549019607843135, 190=352.2470588235294, 21=41.925490196078435}"
2021,170402080106,"{33=5.0, 37=1544.486274509804, 111=132.0, 4=1.0, 59=1.0, 24=46.57254901960784, 28=150.0, 61=192.04313725490195, 143=6.0, 141=3082.9098039215687, 195=769.8039215686275, 152=56376.54509803928, 23=83.45882352941176, 190=219.4, 21=1333.078431372549, 35=1.988235294117647, 142=6684.682352941176, 122=6.0, 176=371.61960784313726, 1=1.0, 205=4.0, 121=1037.0705882352943, 36=5129.392156862741, 131=4.0, 123=4.0, 43=27.0}"
2021,170402080107,"{33=42.333333333333336, 37=1328.1921568627447, 4=1.0, 53=6.0, 59=5.0, 24=1017.6980392156863, 61=1444.1176470588234, 28=1392.0, 141=2366.337254901961, 143=1.0, 195=253.27058823529413, 152=59364.49019607846, 23=406.50588235294117, 190=68.0, 21=3479.160784313726, 35=3.0, 142=8801.470588235296, 122=52.0, 176=5497.031372549015, 32=3.0, 1=5.0, 205=12.0, 121=1981.6862745098035, 36=15331.929411764708, 131=4.0, 44=0.12549019607843137, 123=15.364705882352942, 43=17.0}"
2021,170402080105,"{33=7.0, 111=5351.976470588235, 37=1618.5450980392159, 195=1212.549019607843, 24=66.0, 61=3135.9411764705883, 28=28.0, 143=4.0, 141=1084.5411764705882, 59=5.0, 152=60914.886274509816, 23=169.59607843137258, 190=586.9803921568628, 21=482.58039215686273, 35=4.011764705882353, 142=1803.3843137254903, 122=79.0, 176=751.6078431372548, 31=1.0, 32=1.0, 1=23.0, 205=7.0, 121=1742.7254901960787, 36=13539.015686274513, 131=5.0, 123=23.0, 124=3.0, 43=27.0}"
2021,170402080108,"{33=244.65098039215687, 4=1.0, 111=21.023529411764706, 37=3341.0235294117642, 53=3.0, 143=192.34901960784313, 59=615.0, 28=142.0, 61=2785.349019607844, 24=902.392156862745, 141=2696.482352941176, 195=1154.650980392157, 152=53499.698039215706, 23=769.3607843137255, 22=1.0, 190=509.56078431372543, 21=7185.01568627451, 35=1.0, 142=9705.160784313724, 122=83.0, 176=19353.384313725506, 32=2.0, 1=26.0, 205=10.372549019607844, 121=2718.5490196078435, 36=21248.305882352935, 44=0.8745098039215686, 123=118.6313725490196, 124=17.0, 43=433.8235294117647}"
2021,170402080211,"{33=101.64705882352938, 111=77.0, 37=1547.3764705882354, 49=0.32941176470588235, 59=13.474509803921569, 143=31.0, 28=12.0, 61=1788.8039215686274, 141=4227.843137254902, 24=519.9686274509804, 195=1023.4509803921568, 152=106802.72549019611, 23=4516.470588235292, 190=740.0, 21=513.6666666666667, 35=28.0, 142=22259.521568627442, 122=1922.0705882352938, 176=964.3921568627452, 1=6.0, 205=23.058823529411764, 121=3951.4627450980397, 36=21776.533333333326, 131=4.0, 123=667.0470588235295, 124=103.96470588235294, 43=2.0}"
2021,170402080506,"{33=35.49411764705882, 4=2.0, 111=8.0, 37=104.53333333333333, 53=6.0, 143=7.0, 195=33.03137254901961, 28=8.0, 61=880.0117647058822, 24=367.40000000000003, 141=2130.749019607843, 59=19.0, 152=52608.76078431374, 23=473.9686274509804, 190=243.39607843137256, 21=104.84705882352941, 35=9.0, 142=2529.9529411764706, 122=7583.78823529412, 176=285.3921568627451, 1=37.0, 205=11.207843137254901, 121=6418.658823529409, 36=4583.133333333332, 131=6.0, 43=20.188235294117646, 123=9181.921568627446, 41=1.0, 124=1614.3686274509807}"
2021,170402080602,"{33=14.0, 111=1.0, 37=423.1058823529412, 59=6.0, 24=109.36470588235294, 61=3359.450980392157, 28=11.819607843137256, 143=3.0, 141=1059.2431372549017, 195=216.9921568627451, 152=85009.90196078425, 23=168.6627450980392, 190=763.721568627451, 21=682.0509803921569, 35=11.0, 6=2.0, 142=5647.113725490197, 122=120.22745098039215, 225=1.0, 176=12260.368627450978, 1=14.0, 205=10.0, 121=992.5568627450981, 36=3216.450980392157, 123=84.83921568627451, 124=22.0, 43=5.0}"
