Date,UID,pr,etr,eto,tmmn,tmmx,rmin,pr_1,etr_1,eto_1,tmmn_1,tmmx_1,rmin_1
1979-01-01,101,42.92692840430733,21.24104603178508,14.19274972199831,253.80742649865715,266.30932393087795,48.05739035457568,75.30066116793085,22.483027106738973,14.999475445505862,255.13503543662645,266.086325065352,48.14449003251148
1979-01-01,102,56.488250212027474,23.469282975563637,15.632834643125534,255.98684575007513,267.6083068847656,48.654884631817154,80.61503691489553,23.880381064735687,15.920391945509333,256.5485319485272,267.15754716340416,49.16841194019981
1979-01-01,103,35.090156622992694,16.498414571704384,11.520755709346195,256.04714129681616,266.75573213848776,53.421299371261156,60.936417397827,19.47550514914092,13.30096830430455,256.31059206780986,266.78947769481476,51.19513874916962
1979-02-01,101,42.372143896684975,47.629362256749545,32.663643209836685,263.9519595454566,273.9996235605115,47.523589188490455,67.98293856308979,49.537733221598984,33.945270860302465,265.15064761340784,273.76710449141336,47.77089307124315
1979-02-01,102,46.71087979353391,45.7137924020107,32.01036008963218,265.2827547513522,275.1214106633113,49.79793167114258,66.92624840218537,47.33485889585295,32.99107670496535,265.9401678953269,274.6215276580878,49.717555700030935
1979-02-01,103,31.155926638945118,43.18157675240484,30.49593679321204,266.701557330146,275.597227770596,51.38099407989133,61.87660588780977,45.59278919386263,31.88289278626257,266.53013824947806,274.9628869490003,50.507215481641765
1979-03-01,101,23.398076847512172,66.10481080130707,50.82903831729794,265.7694021685681,278.10777732915153,45.651441163413956,34.86356572694526,66.56746217113998,51.12552190144485,266.51401713199283,277.40955633595837,46.44415578884498
1979-03-01,102,29.050591262487266,72.07224495135821,55.470628917217255,267.97767287034253,279.6847252478966,49.034662393423226,39.585618654403554,69.81560329006275,53.78212888846621,267.8510077471416,278.44501142856006,49.30042200600193
1979-03-01,103,20.08247741845853,73.491717178287,55.90629362323973,269.17294327054026,281.04951517019174,43.99795243997378,27.059305149589292,70.59531213534977,54.132184707784134,268.4219459556294,279.4325540811264,45.92818065451188
1979-04-01,101,14.370676259379545,133.34270945609538,97.67255164759074,270.38891683999174,285.2736796957597,29.651322079930374,27.250911684814128,127.15347322139914,94.0674972864231,270.73034773668934,283.87735616724075,31.16014852458207
1979-04-01,102,16.60149792982982,144.60831192823557,105.02413193079141,272.1271080603966,287.21959040715143,28.666410446166992,26.905429640786007,135.29140383869495,98.9730187191885,271.8713281006908,285.3778370373944,30.471758114082682
1979-04-01,103,14.250230666509276,140.82613956617786,102.82776285918278,273.03847452616765,287.5325964733684,28.222730010234923,22.535593250346512,135.31246047329944,99.4946359354845,272.2984039220339,285.8279560190823,29.914530152681216
1979-05-01,101,27.70406286285175,194.24449047478296,145.0895900439316,275.0781771191893,291.83356540458834,24.402204870208497,35.582462646388805,185.7063512109281,139.98481726701087,275.4535851813775,290.2845517968055,25.511082297377758
1979-05-01,102,29.848037197039677,204.81854798243597,152.32164355424734,276.3062720665565,293.2317199707031,24.410946479210487,36.44542457255522,194.0242800468553,145.69745473458124,276.26390675997527,291.327203313264,25.919961694041724
1979-05-01,103,12.796522405012484,197.2593061686669,148.19768400788934,277.2323935636771,293.38184553904915,24.003163531696952,24.592012338984407,191.81773088347902,144.5963772637742,276.6381854841466,291.82791821936723,25.13524434549161
1979-06-01,101,19.424831782547535,251.02008206932493,185.23861832603703,278.92483434869706,297.8903539834171,21.130311611284583,22.69696194540176,239.6990391637379,179.0378430940807,279.8855703874847,296.5161703563713,22.429059891952207
1979-06-01,102,20.876438943239357,259.55573336894696,191.33771247130173,280.2548100398137,299.0452646108774,21.19629346407377,23.893832147338003,247.3889057515763,184.22308666544856,280.64572447563967,297.388263563601,22.58089822325698
1979-06-01,103,18.010165971649606,242.56324790007983,182.3864174227642,281.2168466870326,299.39630233383247,20.987395593602937,21.191687893707357,240.31700861471666,180.55151997388222,280.9266339832967,298.0220164127694,21.81845954791766
1979-07-01,101,16.065047586875547,285.6466345939616,210.55002763829083,281.53108125291965,301.7406872725068,17.963857821832953,19.637814131309202,277.2137432522969,206.21375187997552,283.1007853550379,300.50360264036806,18.75244962564881
1979-07-01,102,20.89877548126074,302.14768495009497,220.83685824504266,283.09067007211536,303.30621337890625,16.671056307279148,20.5416937003452,288.9440558466026,213.24022987268492,283.9978955486543,301.6312418074466,17.99988616555247
1979-07-01,103,18.671164656801512,282.2417939825876,210.51942125522638,283.8836398182507,303.6732022839738,18.08258941968996,19.881329396819368,278.8662142092781,208.21233928578417,284.131867971505,302.1799037798761,18.725159255378873
1979-08-01,101,33.06720047338785,221.74994202357962,163.41512227321027,281.4340456550652,299.8879264953598,20.70087336268351,35.976656191146596,215.5091430568086,160.05644311607858,283.14181336780155,298.500511289649,21.770621701004256
1979-08-01,102,40.611149256046005,233.97417659025925,171.89036879172693,283.1691378079928,301.1483083871695,20.04558255122258,40.60194200572666,225.31163523459435,166.6451594312579,284.1496076390796,299.46105192615676,21.41841806502921
1979-08-01,103,23.914393503630954,216.7432390597031,161.535541583171,283.79968391444726,301.3914313062975,21.9784172342452,33.08311904777005,216.65857449451653,161.39184019912645,284.2633200927208,299.9030979710258,22.200413408415546
1979-09-01,101,6.307717561096523,218.85300376926102,149.28681085643072,276.8116867501624,299.15563287742486,15.918737262182589,8.734158912323307,207.7148475527758,143.13916641361243,278.4335553019307,297.77807109826625,16.813293414741874
1979-09-01,102,7.040904838305253,227.37293155376727,154.8184325878437,278.4193772536058,300.42703716571515,15.416385650634766,8.358149776274338,215.50818076030674,148.16679926943766,279.5692217432026,298.77189134852773,16.906942574840954
