Year,huc12,Irrigated,Non-irrigated
2000,170402080608,95554.7607843138,220730.35294117668
2000,170402080305,1006.0,102179.95686274508
2000,170402080306,13404.929411764704,100732.07450980396
2000,170402080201,8135.592156862747,79288.77254901963
2000,170402080203,602.6588235294117,50602.84705882363
2000,170402080202,19230.858823529412,195815.03921568615
2000,170402080204,55843.52549019604,164297.35686274525
2000,170402080208,1676.8313725490195,84145.82745098045
2000,170402080209,2927.0470588235294,154678.95686274488
2000,170402080207,4812.6627450980395,145575.69803921552
2000,170402080604,16667.980392156856,87851.87058823544
2000,170402080301,1.0,75122.63137254893
2000,170402080302,10511.870588235292,177723.69803921532
2000,170402080304,6763.176470588236,139262.21568627437
2000,170402080307,16231.023529411763,173995.58823529416
2000,170402080308,18229.909803921575,105428.80000000006
2000,170402080401,20088.717647058824,152591.87450980407
2000,170402080403,12025.039215686273,115961.10196078417
2000,170402080205,6822.894117647058,92305.08235294119
2000,170402080402,7158.462745098039,107021.0039215686
2000,170402080404,4852.8901960784315,155128.0470588235
2000,170402080303,961.6745098039215,79799.74509803935
2000,170402080601,1861.0,142005.21176470592
2000,170402080210,6761.686274509802,127137.50588235313
2000,170402080504,846.972549019608,189727.18431372562
2000,170402080505,3219.8745098039217,130882.37647058825
2000,170402080102,3355.337254901961,151585.14901960822
2000,170402080104,5103.78039215686,108510.0862745099
2000,170402080106,6720.388235294119,98739.91764705897
2000,170402080107,10033.682352941178,130333.56078431397
2000,170402080105,12875.24313725491,113689.8196078433
2000,170402080108,30654.74901960785,143615.62352941168
2000,170402080506,6241.556862745099,115747.82745098049
2000,170402080602,2648.18431372549,153616.305882353
2000,170402080603,4180.890196078432,152230.49411764723
2000,170402080211,9433.1568627451,226985.52549019616
2000,170402080502,1522.9215686274508,64573.63529411767
2000,170402080607,62272.73725490199,108358.9764705883
2000,170402080606,52082.28235294118,58125.768627450976
2000,170402080507,13472.882352941171,129170.14117647058
2000,170402080101,458.1411764705882,147993.71764705892
2000,170402080103,295.15686274509807,56669.223529411865
2000,170402080206,401.0,115353.44313725483
2000,170402080501,4785.690196078432,152949.90196078437
2000,170402080605,73664.54509803916,200027.78039215686
2000,170402080503,3842.5019607843137,159433.3882352936
2001,170402080606,51808.760784313745,58399.29019607839
2001,170402080507,12128.176470588232,130514.84705882354
2001,170402080101,322.24313725490197,148129.6156862746
2001,170402080103,333.03137254901964,56631.349019607944
2001,170402080503,3613.470588235294,159662.4196078426
2001,170402080501,5751.007843137256,151984.58431372553
2001,170402080502,1279.5764705882352,64816.98039215689
2001,170402080607,63278.61176470592,107353.10196078438
2001,170402080206,353.0,115401.44313725483
2001,170402080605,67499.49411764699,206192.83137254894
2001,170402080608,90168.7450980393,226116.36862745116
2001,170402080602,545.0745098039216,155719.41568627453
2001,170402080506,6275.607843137257,115713.77647058833
2001,170402080211,8772.129411764707,227646.5529411765
2001,170402080108,28496.968627450984,145773.40392156853
2001,170402080105,11598.105882352947,114966.95686274522
2001,170402080107,8881.619607843139,131485.62352941203
2001,170402080106,6825.258823529412,98635.04705882371
2001,170402080104,4533.878431372549,109079.98823529421
2001,170402080102,3492.0509803921573,151448.435294118
2001,170402080504,775.2823529411764,189798.87450980404
2001,170402080603,2348.1058823529415,154063.27843137272
2001,170402080505,3202.8470588235296,130899.40392156865
2001,170402080210,4943.447058823531,128955.74509803939
2001,170402080604,13823.247058823537,90696.6039215688
2001,170402080601,260.89019607843136,143605.32156862746
2001,170402080404,4426.580392156864,155554.35686274507
2001,170402080402,5838.694117647058,108340.77254901959
2001,170402080205,6759.00392156863,92368.97254901961
2001,170402080403,11514.478431372543,116471.66274509791
2001,170402080401,18404.160784313724,154276.43137254915
2001,170402080308,16106.98431372549,107551.72549019613
2001,170402080304,6384.764705882354,139640.62745098025
2001,170402080302,10081.070588235296,178154.49803921528
2001,170402080303,922.0549019607843,79839.36470588247
2001,170402080307,14050.631372549018,176175.98039215687
2001,170402080306,11730.796078431375,102406.2078431373
2001,170402080207,4565.5921568627455,145822.76862745083
2001,170402080209,2558.2313725490194,155047.77254901937
2001,170402080208,1181.0,84641.65882352945
2001,170402080204,54024.85490196076,166116.02745098041
2001,170402080202,21039.82352941176,194006.0745098037
2001,170402080203,235.79215686274512,50969.713725490285
2001,170402080201,11824.4862745098,75599.87843137259
2001,170402080301,1.0,75122.63137254893
2001,170402080305,1191.0,101994.95686274508
2002,170402080209,3903.3294117647056,153702.6745098037
2002,170402080208,2300.333333333333,83522.32549019613
2002,170402080204,66328.36862745095,153812.51372549022
2002,170402080202,26782.815686274495,188263.08235294087
2002,170402080305,1547.0,101638.95686274505
2002,170402080201,18379.956862745097,69044.4078431373
2002,170402080306,12272.909803921568,101864.09411764711
2002,170402080207,7007.058823529413,143381.30196078413
2002,170402080203,2194.1294117647058,49011.37647058835
2002,170402080210,8827.988235294115,125071.20392156883
2002,170402080404,5738.8117647058825,154242.12549019605
2002,170402080303,1666.7764705882353,79094.64313725504
2002,170402080302,12170.447058823529,176065.12156862704
2002,170402080304,7584.9254901960785,138440.4666666666
2002,170402080307,18488.74117647059,171737.87058823532
2002,170402080308,18324.41960784314,105334.2901960785
