Year,huc12,mean
2010,170402080608,4779.49264727563
2010,170402080102,2929.682172292425
2010,170402080104,3952.2887037977735
2010,170402080106,3133.2724827451184
2010,170402080107,3439.6305372809743
2010,170402080105,3156.9128781708855
2010,170402080108,3876.3209877934914
2010,170402080211,3175.183264372315
2010,170402080506,2511.1994394017042
2010,170402080602,2859.0910876044236
2010,170402080603,4143.279779272499
2010,170402080605,3432.20479553146
2010,170402080607,4674.666050518995
2010,170402080606,5050.125957927376
2010,170402080507,2279.0233781916213
2010,170402080101,2259.0969492662957
2010,170402080103,5101.4527919172
2010,170402080206,4643.51409632464
2010,170402080501,3557.547043454772
2010,170402080502,3896.340890049791
2010,170402080503,2293.928773727233
2010,170402080504,3555.317461533709
2010,170402080505,2245.179240043317
2010,170402080601,3500.0276398299648
2010,170402080604,2394.4880649458687
2010,170402080305,2531.230805379146
2010,170402080306,2824.810422739926
2010,170402080201,2909.4231560516014
2010,170402080203,3310.432140187115
2010,170402080202,3055.156073324452
2010,170402080204,4143.818613698055
2010,170402080208,3908.9843265022064
2010,170402080209,4587.015030234018
2010,170402080207,3459.176182268589
2010,170402080210,3463.898106331764
2010,170402080301,3939.7024833287737
2010,170402080303,3193.338900741272
2010,170402080302,2428.1452185701637
2010,170402080304,3235.051352152375
2010,170402080307,3331.7317541377997
2010,170402080308,2960.5031359729874
2010,170402080401,3038.3128721195153
2010,170402080403,3357.346666137688
2010,170402080205,3506.9594316026673
2010,170402080402,3780.004862906126
2010,170402080404,2824.0587854691157
