Date,huc12,sims_mean,sims_25th,sims_50th,sims_75th
1999-10-01,170402080608,28.943985339139942,21.374816713676083,21.374816713676083,28.4316271716236
1999-10-01,170402080102,32.79109727674528,15.000000000000002,35.00000000000001,46.0
1999-10-01,170402080104,48.61471980477285,32.0,51.0,69.0
1999-10-01,170402080106,36.82905193039287,17.447414025321002,36.49538231619751,51.513635266002176
1999-10-01,170402080107,29.88329413839902,17.000000000000004,26.0,38.0
1999-10-01,170402080105,36.12684684185231,16.0,33.0,50.00000000000001
1999-10-01,170402080108,35.08846149044775,16.0,27.470606407093136,50.5201251921403
1999-10-01,170402080211,33.78716825053341,16.0,28.0,48.34810878086464
1999-10-01,170402080506,30.12804744267081,12.000000000000002,22.30432514032137,36.0
1999-10-01,170402080602,16.855187671776314,10.04758641441306,11.0,22.0
1999-10-01,170402080603,25.65147879750188,9.21835066143548,22.0,38.99999999999999
1999-10-01,170402080605,25.975622843618307,20.998413801347844,22.104116697282056,27.42089067568539
1999-10-01,170402080607,26.029272384473867,19.99645589261841,20.94827258383937,27.45276176163896
1999-10-01,170402080606,25.960987959858564,21.239317845066388,22.000000000000007,26.0
1999-10-01,170402080507,23.28196091368808,10.999999999999996,22.000000000000004,25.000000000000004
1999-10-01,170402080101,15.484700615152708,10.22239599486066,12.22449519187236,18.000000000000004
1999-10-01,170402080103,24.99146400892899,15.0,20.0,36.0
1999-10-01,170402080206,26.790533780152657,18.0,22.0,36.0
1999-10-01,170402080501,39.56200484384554,31.0,39.0,48.0
1999-10-01,170402080502,31.171032554459835,15.000000000000002,28.0,41.0
1999-10-01,170402080503,27.293773083530027,11.0,17.0,37.0
1999-10-01,170402080504,30.85412707668968,16.0,27.0,42.34963496960626
1999-10-01,170402080505,26.30867195017885,10.000000000000002,18.0,36.0
1999-10-01,170402080601,16.533485755779637,10.999999999999998,12.999999999999996,17.999999999999996
1999-10-01,170402080604,23.512814811209942,12.000000000000004,23.000000000000004,30.0
1999-10-01,170402080305,22.04594106091948,11.999999999999998,20.999999999999996,28.0
1999-10-01,170402080306,30.619078379975747,15.000000000000002,25.00000000000001,42.99999999999999
1999-10-01,170402080201,21.510134644639358,19.0,21.0,23.0
1999-10-01,170402080203,22.91140467136927,15.000000000000002,23.0,29.0
1999-10-01,170402080202,24.02107480828875,14.000000000000002,22.275748949437443,25.475485775476702
1999-10-01,170402080204,25.60457460645117,22.091891640937828,24.14791002304471,27.325442627637127
1999-10-01,170402080208,32.51650826308813,24.0,28.0,37.0
1999-10-01,170402080209,45.67982008775214,30.0,43.0,61.00000000000001
1999-10-01,170402080207,32.926462508057014,23.0,28.000000000000004,43.0
1999-10-01,170402080210,35.81261451970691,22.86771857397753,32.0,47.0
1999-10-01,170402080301,15.977308342222768,11.0,14.367770411340242,20.000000000000004
1999-10-01,170402080303,18.964076859934224,9.0,14.000000000000004,22.0
1999-10-01,170402080302,22.90146107385035,11.000000000000002,20.006709439441583,28.0
1999-10-01,170402080304,27.27620688319585,10.0,19.999999999999996,45.00000000000001
1999-10-01,170402080307,27.982235876046406,20.451543610782867,22.319233305991748,33.000000000000014
1999-10-01,170402080308,25.92156623125293,9.0,20.000000000000007,38.98833891297998
1999-10-01,170402080401,29.775296316583027,14.000000000000004,22.0,40.0
1999-10-01,170402080403,36.18575473285002,14.999999999999998,31.000000000000007,55.99999999999999
1999-10-01,170402080205,22.621672887528245,12.000000000000004,22.000000000000004,26.999999999999996
1999-10-01,170402080402,30.934392552544647,18.00000000000001,27.000000000000004,41.0
1999-10-01,170402080404,27.48551860222732,15.0,16.999999999999996,39.36825679893
1999-11-01,170402080608,15.982681738488775,12.0,13.000000000000004,18.000000000000004
1999-11-01,170402080102,20.07107717965716,14.301807854739264,22.000000000000004,24.0
1999-11-01,170402080104,25.672353947269052,21.566728731223137,26.43541525371478,32.49883273783354
1999-11-01,170402080106,18.01640301472191,14.0,18.000000000000004,21.478542078528555
1999-11-01,170402080107,16.316672852820496,12.0,16.0,20.0
1999-11-01,170402080105,19.308466113033887,14.000000000000002,19.000000000000004,24.000000000000004
1999-11-01,170402080108,19.793969656684173,13.98686808818214,19.476524638664756,25.000000000000004
1999-11-01,170402080211,21.868059649054132,13.342503759922195,21.2993298631804,28.35418009649677
1999-11-01,170402080506,19.18813766595168,10.999999999999998,14.0,24.0
1999-11-01,170402080602,13.219882120294574,9.0,12.04209564002927,14.999999999999996
1999-11-01,170402080603,18.162650934387518,9.454802898230191,16.0,23.33859778474119
1999-11-01,170402080605,15.456728852383796,10.0,12.48728095357191,19.0
1999-11-01,170402080607,13.5166912252434,9.999999999999996,10.999999999999998,15.000000000000004
1999-11-01,170402080606,15.696446426474308,11.567499405204936,13.999999999999998,20.0
1999-11-01,170402080507,14.06736100921271,8.0,13.000000000000004,16.0
1999-11-01,170402080101,14.44449995712436,12.000000000000002,13.086807133483116,16.0
1999-11-01,170402080103,19.53539370883309,15.000000000000002,17.0,26.0
1999-11-01,170402080206,20.39105283623955,16.0,19.0,25.0
1999-11-01,170402080501,24.575210644675828,21.000000000000004,25.0,28.0
1999-11-01,170402080502,22.26794578793917,15.0,22.0,26.0
1999-11-01,170402080503,19.706692498575137,13.0,14.999999999999998,25.0
1999-11-01,170402080504,21.927579907186136,14.0,20.0,28.42547333163019
1999-11-01,170402080505,18.06701844690161,10.000000000000002,15.0,24.0
1999-11-01,170402080601,15.806537323399215,13.000000000000004,13.999999999999996,17.0
1999-11-01,170402080604,16.593864517569838,9.999999999999996,16.0,20.000000000000004
