Date,huc12,ensb_mean,ensb_25th,ensb_50th,ensb_75th
1999-10-01,170402080608,42.0264444299296,16.0,30.05982245949837,70.0
1999-10-01,170402080102,26.5128705733581,18.000000000000007,26.0,34.0
1999-10-01,170402080104,30.285855471103712,16.0,29.000000000000007,42.90792187367567
1999-10-01,170402080106,24.470616097808797,13.47628921752682,22.46253577883112,33.48282351627179
1999-10-01,170402080107,26.15200222718808,17.0,25.000000000000004,33.99999999999997
1999-10-01,170402080105,30.3559667565042,18.19758418951283,26.99999999999998,37.0
1999-10-01,170402080108,28.47872860295604,17.24617957310624,27.000000000000004,37.99999999999999
1999-10-01,170402080211,30.273609841111856,19.999999999999996,30.000000000000007,40.00000000000001
1999-10-01,170402080506,22.64724939463072,11.357259682897558,21.0,32.0
1999-10-01,170402080602,17.692566237338326,8.0,14.999999999999998,26.0
1999-10-01,170402080603,27.26536842096406,14.489947787066535,27.49940185000299,38.00000000000001
1999-10-01,170402080605,17.057351026387952,8.22546662086339,14.175617277482592,23.13510276749914
1999-10-01,170402080607,25.270472260526116,13.022593685952282,20.097482863733813,36.2003607374732
1999-10-01,170402080606,24.743879570945705,13.0,22.0,32.0
1999-10-01,170402080507,21.620639519545254,8.999999999999998,17.999999999999993,31.0
1999-10-01,170402080101,19.23632765986233,12.277847594084728,18.15871859914477,25.24501376364031
1999-10-01,170402080103,36.76441314246654,24.99999999999998,39.0,47.99999999999999
1999-10-01,170402080206,34.43949370995293,22.0,35.0,46.0
1999-10-01,170402080501,28.44842648527109,17.000000000000007,29.0,38.99999999999999
1999-10-01,170402080502,29.846699900036096,16.0,30.0,41.99999999999999
1999-10-01,170402080503,23.548996926201397,10.999999999999998,21.99999999999999,33.99999999999999
1999-10-01,170402080504,30.259247630932663,18.35930475025001,31.0,40.54947908408996
1999-10-01,170402080505,22.00999520301433,9.0,18.197927610319677,32.0
1999-10-01,170402080601,25.41559580629267,14.000000000000002,24.000000000000004,35.0
1999-10-01,170402080604,15.268922244601258,6.000000000000002,12.0,22.0
1999-10-01,170402080305,23.148273625304714,14.497923532287048,21.484382315507656,31.000000000000004
1999-10-01,170402080306,25.43432190982722,16.0,23.999999999999996,33.0
1999-10-01,170402080201,23.301987390834757,16.99999999999999,21.000000000000007,26.99999999999999
1999-10-01,170402080203,31.918251428325256,21.000000000000007,32.0,42.000000000000014
1999-10-01,170402080202,25.758839153990813,18.00000000000001,23.99629525788729,32.49682665309702
1999-10-01,170402080204,29.47784674160986,20.000000000000007,27.0,37.0
1999-10-01,170402080208,34.3390771365863,23.0,36.0,45.0
1999-10-01,170402080209,37.46451984664753,26.992504957164403,39.50603451713128,48.0
1999-10-01,170402080207,32.83691689462343,21.31033189152727,34.298091012429005,44.22616513889724
1999-10-01,170402080210,30.11950722849215,18.0,29.000000000000004,41.99999999999999
1999-10-01,170402080301,32.7196496413732,20.455379811641084,35.0,43.0
1999-10-01,170402080303,27.830020826509124,20.000000000000004,27.0,36.0
1999-10-01,170402080302,25.383659385861414,17.453373491074217,22.999999999999996,31.000000000000004
1999-10-01,170402080304,25.997783295480428,14.999999999999996,23.01433733483845,36.000000000000014
1999-10-01,170402080307,26.763469772907463,17.48697411022037,22.211371861886175,36.39501230830352
1999-10-01,170402080308,22.39702167300927,10.999999999999998,19.000000000000007,30.0
1999-10-01,170402080401,26.422944578078614,15.000000000000009,22.999999999999996,33.99999999999999
1999-10-01,170402080403,26.02315378363767,13.0,22.000000000000007,36.00000000000001
1999-10-01,170402080205,30.056894962459005,20.0,29.0,36.4649751261603
1999-10-01,170402080402,27.52670459054624,16.0,25.000000000000007,37.0
1999-10-01,170402080404,24.64876230785366,13.000000000000004,21.252504552772013,34.99999999999999
1999-11-01,170402080608,22.0882971966192,9.020591117134774,16.0472142670789,36.99999999999999
1999-11-01,170402080102,17.07435417074152,13.342587005915137,17.15704022167255,21.222479226205586
1999-11-01,170402080104,17.458383005757497,11.0,17.000000000000007,24.00000000000001
1999-11-01,170402080106,13.759219823799809,8.475032377420822,12.470162349492416,18.000000000000007
1999-11-01,170402080107,15.522201291470164,11.000000000000002,16.0,20.00000000000001
1999-11-01,170402080105,18.16072676786549,12.225462285897413,17.000000000000004,22.0
1999-11-01,170402080108,18.186646012391893,13.207864518204834,18.170479990893927,22.999999999999996
1999-11-01,170402080211,17.52491754585128,11.304801835350004,17.293090355543725,22.53588789584214
1999-11-01,170402080506,12.726587013150152,7.000000000000002,12.000000000000002,16.999999999999996
1999-11-01,170402080602,11.47943043384352,6.999999999999998,11.0,14.156055156235302
1999-11-01,170402080603,14.84437355354379,9.506568644237872,14.468486126883002,19.0
1999-11-01,170402080605,10.681074146456904,6.194988917145585,9.166544297964576,13.180542912732944
1999-11-01,170402080607,12.86483361966184,7.000000000000004,11.000000000000004,17.0
1999-11-01,170402080606,13.460995826849103,8.264519678705886,12.000000000000004,18.342502877495217
1999-11-01,170402080507,12.886421303080445,6.000000000000001,12.0,17.999999999999996
1999-11-01,170402080101,16.548530987708386,14.000000000000004,16.0,19.000000000000004
1999-11-01,170402080103,19.29703755576576,13.999999999999991,20.000000000000004,25.000000000000004
1999-11-01,170402080206,17.667751336158666,11.501555958333714,18.00108648205011,24.0
1999-11-01,170402080501,15.821448622852554,10.000000000000002,15.000000000000004,19.999999999999996
1999-11-01,170402080502,15.328684586751615,10.000000000000002,15.000000000000002,21.0
1999-11-01,170402080503,15.949913169540045,10.000000000000002,14.999999999999996,20.999999999999996
1999-11-01,170402080504,16.565540754632313,10.294434893704244,16.394645652786238,21.440656863914157
