Date,huc12,sseb_mean,sseb_25th,sseb_50th,sseb_75th
1999-10-01,170402080608,48.64636373967158,11.024614716061649,37.02848289178231,89.0
1999-10-01,170402080102,30.227945435084973,11.000000000000002,26.415513139653637,46.0
1999-10-01,170402080104,38.5177282902052,12.09954035542813,34.000000000000014,59.99999999999999
1999-10-01,170402080106,26.359794156698182,6.000000000000003,22.000000000000004,42.0
1999-10-01,170402080107,27.57586479174292,8.0,22.000000000000007,40.00000000000001
1999-10-01,170402080105,32.33200591879627,10.0,27.000000000000004,45.00000000000001
1999-10-01,170402080108,28.306545570739207,9.420168622942832,23.0,40.0
1999-10-01,170402080211,38.17893906648776,13.30907866907676,34.29470407831395,57.32454290706062
1999-10-01,170402080506,28.33457854775133,4.0,24.0,46.0
1999-10-01,170402080602,21.67306964926905,2.202939902395541,13.34811614202174,33.0
1999-10-01,170402080603,33.67731382936211,10.447147417244238,28.873069743763786,53.499897154610885
1999-10-01,170402080605,17.89296066215092,2.099728740890076,13.235398286585262,28.28599116220457
1999-10-01,170402080607,22.316456089869376,4.052559010756545,18.08267943248798,36.14198873052703
1999-10-01,170402080606,22.026218474910003,4.0,17.999999999999996,34.28196761355038
1999-10-01,170402080507,28.41723960209374,3.0,23.00000000000001,47.000000000000014
1999-10-01,170402080101,20.535626283608075,6.000000000000003,16.429609630833742,31.0
1999-10-01,170402080103,51.93177678884685,25.000000000000007,51.0,79.0
1999-10-01,170402080206,45.01811284181191,17.000357108747917,41.99999999999999,69.00555189303752
1999-10-01,170402080501,38.91082687768571,10.999999999999996,33.00000000000001,60.99999999999999
1999-10-01,170402080502,42.603727785126175,9.0,37.99999999999999,71.00000000000001
1999-10-01,170402080503,35.00616290878495,5.000000000000002,27.0,58.0
1999-10-01,170402080504,43.19800667721084,15.0,43.37197148111108,67.32239674017082
1999-10-01,170402080505,31.72368700105462,5.296138636231013,21.21309755364254,51.99999999999999
1999-10-01,170402080601,34.000589701882376,10.0,29.0,54.20260107372084
1999-10-01,170402080604,16.449397238553235,0.0,10.000000000000002,27.0
1999-10-01,170402080305,27.270169290748647,7.000000000000002,20.50069709854407,41.52852698993596
1999-10-01,170402080306,26.71450952115537,5.000000000000002,21.0,42.0
1999-10-01,170402080201,21.585883865892352,6.999999999999999,16.0,27.0
1999-10-01,170402080203,36.35527528376317,10.000000000000004,28.000000000000004,57.0
1999-10-01,170402080202,26.243495624785037,8.497217440437412,20.50374403874489,35.45491078112051
1999-10-01,170402080204,28.440800894138583,8.391660505426847,21.0,36.99999999999999
1999-10-01,170402080208,42.28591323176413,12.999999999999996,39.00000000000001,69.0
1999-10-01,170402080209,47.28461967817751,24.51016652296795,49.48805561400734,71.50637074284393
1999-10-01,170402080207,43.58250869782759,14.388782414417465,39.0,69.33272028287335
1999-10-01,170402080210,32.55008407277407,6.0,25.26691476542684,51.000000000000014
1999-10-01,170402080301,39.74914771936346,9.0,34.49165648129286,68.46958427616158
1999-10-01,170402080303,33.83605010282946,13.999999999999996,28.000000000000007,52.14863866161766
1999-10-01,170402080302,22.94933415779313,7.000000000000001,19.274157219342893,34.333728884742335
1999-10-01,170402080304,28.280997593822853,6.0,20.000000000000004,43.99999999999999
1999-10-01,170402080307,26.08681106375995,5.345987629145229,18.221728407230103,38.63784966855409
1999-10-01,170402080308,21.08798072316669,3.0,13.494754902394307,33.0
1999-10-01,170402080401,26.21560362414677,6.9999999999999964,23.0,40.00000000000001
1999-10-01,170402080403,29.43978335517592,10.0,23.999999999999996,41.99999999999999
1999-10-01,170402080205,29.70239161625157,10.000000000000002,22.0,42.00000000000001
1999-10-01,170402080402,33.52373749787211,9.999999999999998,28.000000000000007,50.0
1999-10-01,170402080404,31.08233841820925,6.000000000000001,21.622712131793268,48.0
1999-11-01,170402080608,25.79294524273057,2.4133891646674064,20.488566636545816,48.42910722439129
1999-11-01,170402080102,18.40911590765854,5.763461179148336,16.200274670266698,28.263493719891425
1999-11-01,170402080104,26.64201156385141,7.0,24.0,43.0
1999-11-01,170402080106,16.33687125055383,3.0,12.469110240906607,25.95930585547522
1999-11-01,170402080107,18.253559689389466,4.0,14.999999999999996,26.000000000000004
1999-11-01,170402080105,21.956213752167947,7.0,19.437776554595573,32.0
1999-11-01,170402080108,18.962450475489213,7.0,16.461334862395322,26.000000000000004
1999-11-01,170402080211,23.59688030169484,6.999999999999999,20.0,36.0
1999-11-01,170402080506,17.324294859098227,1.0,13.370822333951311,27.321792892909816
1999-11-01,170402080602,16.33242565876566,2.3200776594486343,12.772374896102423,25.406156466996567
1999-11-01,170402080603,21.81696132099357,8.0,20.0,32.0
1999-11-01,170402080605,11.733622773772328,1.0,9.000000000000002,19.152733640816443
1999-11-01,170402080607,12.31824777172354,1.0,9.999999999999996,20.0
1999-11-01,170402080606,12.729794474699766,2.192842717344392,9.000000000000002,20.000000000000004
1999-11-01,170402080507,17.79698917313471,2.0,14.000000000000002,28.000000000000018
1999-11-01,170402080101,13.297532264067208,4.0,11.000000000000002,19.70102724936677
1999-11-01,170402080103,32.13373426378716,14.0,33.00000000000001,49.0
1999-11-01,170402080206,30.3980262827037,11.999999999999991,30.0,46.00000000000001
1999-11-01,170402080501,25.090114198989703,9.000000000000002,21.000000000000007,38.0
1999-11-01,170402080502,24.31280819587988,6.000000000000001,20.99999999999999,40.0
1999-11-01,170402080503,26.50967734941717,7.000000000000002,22.0,41.0
1999-11-01,170402080504,26.90717376706789,10.296281856311206,26.000000000000004,41.35034818963578
1999-11-01,170402080505,24.168391521199467,7.0,19.0,37.43198225760307
