Date,huc12,metric_mean,metric_25th,metric_50th,metric_75th
1999-10-01,170402080608,49.58041655808217,16.0,41.99999999999999,78.0
1999-10-01,170402080102,23.30831574357805,12.30025615894296,21.366087538467543,32.19583703831747
1999-10-01,170402080104,22.781635427785517,9.055931375032412,17.999999999999996,32.0
1999-10-01,170402080106,20.71786441808443,7.000000000000004,15.000000000000004,27.469060670262703
1999-10-01,170402080107,27.61449290364048,11.000000000000004,23.000000000000007,40.99999999999999
1999-10-01,170402080105,34.23664196322579,12.0,27.40958703475072,47.43864909399953
1999-10-01,170402080108,36.11019666371299,13.999999999999996,32.0,58.48191817280665
1999-10-01,170402080211,28.573273936059195,11.407591166131356,22.0,40.31981561717932
1999-10-01,170402080506,18.07381676625407,4.37773313985256,12.642037091551366,26.0
1999-10-01,170402080602,10.785410687648035,1.0,6.000000000000002,14.999999999999998
1999-10-01,170402080603,19.995460548288435,6.0,16.0,29.4690647372022
1999-10-01,170402080605,16.342110553282744,1.0,9.0,25.0
1999-10-01,170402080607,31.88975953202817,11.000000000000002,27.999999999999996,50.27400331853447
1999-10-01,170402080606,34.01048406817668,14.000000000000004,32.33901837429236,51.0
1999-10-01,170402080507,18.01583976891747,1.0,8.0,27.0
1999-10-01,170402080101,18.5730367793082,8.0,15.000000000000004,25.000000000000007
1999-10-01,170402080103,24.67833541789513,12.999999999999996,22.00000000000001,34.0
1999-10-01,170402080206,25.560555221142693,13.0,22.0,35.00000000000001
1999-10-01,170402080501,20.958703841100547,5.999999999999999,16.0,30.000000000000004
1999-10-01,170402080502,21.180773845037905,5.000000000000002,16.0,31.0
1999-10-01,170402080503,16.784620314605917,4.0,10.000000000000004,22.0
1999-10-01,170402080504,20.06333738406593,8.0,17.34423618274593,28.508905601751888
1999-10-01,170402080505,14.246840560369783,1.0,6.999999999999998,19.000000000000007
1999-10-01,170402080601,16.104964262594233,7.000000000000001,14.000000000000002,22.0
1999-10-01,170402080604,13.620042499639514,1.0,5.000000000000002,17.999999999999996
1999-10-01,170402080305,21.484653596645213,9.999999999999998,19.000000000000007,30.0
1999-10-01,170402080306,28.92854246829214,14.999999999999998,25.0,38.0
1999-10-01,170402080201,26.56819306695523,16.0,23.999999999999996,33.99999999999999
1999-10-01,170402080203,32.5510076315876,19.000000000000004,29.000000000000007,43.0
1999-10-01,170402080202,30.244853497573494,16.021134254018563,26.000000000000004,41.0
1999-10-01,170402080204,39.75806784611125,25.0,37.00000000000001,54.000000000000014
1999-10-01,170402080208,31.083622272674685,14.999999999999996,27.999999999999996,42.99999999999999
1999-10-01,170402080209,28.96486085422317,13.501576022260036,24.495060171459507,40.47661678822294
1999-10-01,170402080207,29.482398230148547,12.557935444205349,24.31325766888103,41.47155817122028
1999-10-01,170402080210,33.58977918625121,15.000000000000004,29.000000000000007,48.00000000000001
1999-10-01,170402080301,27.050237468022303,12.000000000000002,23.000000000000004,38.0
1999-10-01,170402080303,21.41880906117638,11.0,19.000000000000004,28.000000000000007
1999-10-01,170402080302,29.189555704134325,15.000000000000004,24.298946163070333,37.99999999999999
1999-10-01,170402080304,23.394754055267377,10.000000000000002,18.000000000000007,32.0
1999-10-01,170402080307,29.711233521582308,14.469861129641844,26.470331549066408,40.3509339226057
1999-10-01,170402080308,26.03246979929426,8.0,19.4718368393065,37.47853951997915
1999-10-01,170402080401,33.92861763330405,13.999999999999991,26.999999999999982,49.00000000000001
1999-10-01,170402080403,27.67305388863878,6.999999999999997,17.0,39.99999999999999
1999-10-01,170402080205,39.40739646670482,21.999999999999982,35.07302288846785,58.0
1999-10-01,170402080402,23.29863306140905,9.000000000000002,19.0,32.0
1999-10-01,170402080404,21.23998468168794,5.342177356979811,14.355284463826791,28.0
1999-11-01,170402080608,23.995885306728287,7.000000000000003,18.978427167330054,40.0
1999-11-01,170402080102,20.75112927587256,11.287878754679086,20.0,29.38894264330913
1999-11-01,170402080104,15.400940478957525,6.50280344305523,12.468268582733652,21.451135244333184
1999-11-01,170402080106,14.353770535327545,4.999999999999999,10.0,20.4658036365235
1999-11-01,170402080107,20.4599604636737,8.0,19.0,32.0
1999-11-01,170402080105,23.784486050336817,12.000000000000004,23.99999999999999,33.0
1999-11-01,170402080108,28.22948172416724,16.339088170146653,27.10429977025352,40.00000000000001
1999-11-01,170402080211,19.9974861276395,6.000000000000002,17.000000000000004,31.0
1999-11-01,170402080506,7.772939937953832,1.0,5.261514509128369,10.999999999999998
1999-11-01,170402080602,5.171682225854826,0.0,2.0,7.0
1999-11-01,170402080603,10.237945891286216,2.0,7.000000000000001,16.0
1999-11-01,170402080605,7.213081046572505,1.0,3.0,10.000000000000002
1999-11-01,170402080607,14.090084039375975,4.009152952876985,11.000000000000002,20.159135544064867
1999-11-01,170402080606,14.804427999948484,5.418024590510259,12.000000000000002,21.0
1999-11-01,170402080507,9.158040478556703,0.0,4.0,14.000000000000002
1999-11-01,170402080101,24.1530346867072,17.43332703893367,24.000000000000004,31.0
1999-11-01,170402080103,15.483607599576091,9.0,14.000000000000004,20.0
1999-11-01,170402080206,11.95591507627767,6.490319161945135,10.999999999999998,16.0
1999-11-01,170402080501,11.862220635671491,4.0,8.999999999999995,18.000000000000004
1999-11-01,170402080502,12.021410915683164,2.0,8.0,19.000000000000004
1999-11-01,170402080503,12.344187341876236,3.000000000000002,8.999999999999998,19.0
1999-11-01,170402080504,11.577373618629132,3.0,8.0,17.521222582694698
1999-11-01,170402080505,7.4508448499465265,0.0,4.350204451320799,9.815951797580343
