Date,huc12,ptjpl_mean,ptjpl_25th,ptjpl_50th,ptjpl_75th
1999-10-01,170402080608,39.911443933384255,20.000000000000007,26.000000000000004,53.99999999999999
1999-10-01,170402080102,33.19503245615464,27.19305891351649,32.16374955878543,38.3758842188572
1999-10-01,170402080104,38.38107880362767,29.000000000000004,36.99999999999999,46.99999999999999
1999-10-01,170402080106,34.80377351159732,29.0,33.94357502840329,39.00000000000001
1999-10-01,170402080107,34.669592828155174,28.999999999999996,32.999999999999986,39.000000000000014
1999-10-01,170402080105,34.76013839196351,27.000000000000004,30.393257394012917,38.0
1999-10-01,170402080108,33.855317389366085,26.796211503611417,30.353474951086383,39.00000000000001
1999-10-01,170402080211,34.729360931652,25.49211973677172,32.30595818837492,42.00000000000001
1999-10-01,170402080506,30.116470802868225,22.000000000000004,29.312568145344077,38.0
1999-10-01,170402080602,26.571885620664048,19.0,23.000000000000004,32.0
1999-10-01,170402080603,34.53181393494123,22.999999999999996,35.0,44.0
1999-10-01,170402080605,22.92877314139868,18.172610550837454,21.27242337496386,25.282732670299332
1999-10-01,170402080607,27.52463646874517,19.11480292750192,22.00000000000001,35.24812800600288
1999-10-01,170402080606,27.775858666468924,20.311486298849555,23.371687129918204,32.0
1999-10-01,170402080507,27.976025378225927,19.00000000000001,25.000000000000004,34.99999999999999
1999-10-01,170402080101,25.59187260176961,22.000000000000007,24.42395597219482,28.000000000000007
1999-10-01,170402080103,42.79402347771292,32.0,43.000000000000014,53.00000000000002
1999-10-01,170402080206,43.26407301353105,32.99999999999999,44.000000000000014,53.00000000000001
1999-10-01,170402080501,35.808186830499004,27.999999999999982,34.0,42.00000000000001
1999-10-01,170402080502,35.71103169724177,24.000000000000004,32.99999999999999,46.99999999999999
1999-10-01,170402080503,30.564005164375487,22.99999999999999,28.999999999999982,35.99999999999999
1999-10-01,170402080504,37.093064976152064,27.230005763983037,35.32406145004282,46.27811140952982
1999-10-01,170402080505,30.902253979677557,21.684568854422714,28.00000000000001,38.00000000000001
1999-10-01,170402080601,33.11016585200698,23.52328210238812,29.44060719169902,41.41763111195016
1999-10-01,170402080604,21.42900489333485,18.0,20.999999999999982,23.0
1999-10-01,170402080305,29.443039388299308,22.50715877917224,27.478981044605483,34.47298687490075
1999-10-01,170402080306,30.304406783820625,23.000000000000007,29.00000000000001,36.000000000000014
1999-10-01,170402080201,33.344051149737936,28.00000000000001,32.0,37.00000000000001
1999-10-01,170402080203,38.4596576185733,29.0,34.999999999999986,48.0
1999-10-01,170402080202,33.82720538699243,27.487043614113706,31.000000000000025,38.47886401040888
1999-10-01,170402080204,33.54043815778764,25.999999999999982,28.40644696282463,36.31448554412906
1999-10-01,170402080208,41.04945651912395,31.000000000000007,39.99999999999999,50.99999999999999
1999-10-01,170402080209,45.37239469333671,34.999999999999986,45.99999999999999,56.0178772347858
1999-10-01,170402080207,38.2444670461312,28.888286248868923,37.29118804294484,47.000000000000014
1999-10-01,170402080210,35.44580651474896,25.40791892860164,34.0,43.71577841826829
1999-10-01,170402080301,41.567166059877614,30.00000000000001,40.471076007073,53.0
1999-10-01,170402080303,34.25116933823874,24.431940152541777,30.450676814184675,40.44999775770327
1999-10-01,170402080302,28.83934794386489,23.39614964181774,25.29801435123463,32.0
1999-10-01,170402080304,34.136863476502675,24.000000000000004,31.000000000000007,43.07104496788009
1999-10-01,170402080307,32.92662398018845,23.31869591329356,27.448093800887367,41.0
1999-10-01,170402080308,28.87364891801756,19.980925025738596,24.000000000000004,35.463946070890856
1999-10-01,170402080401,30.84959729683665,21.529545625432903,26.47278256576157,36.00000000000001
1999-10-01,170402080403,32.36471309809353,23.0,28.0,39.99999999999999
1999-10-01,170402080205,35.19259642849542,29.00000000000001,31.000000000000018,39.000000000000014
1999-10-01,170402080402,33.84423292995592,25.0,30.99999999999999,41.0
1999-10-01,170402080404,33.23694635532758,24.0,28.333283472534,40.0
1999-11-01,170402080608,25.47649065195376,16.511616749891296,19.000000000000007,30.30107605320531
1999-11-01,170402080102,19.31755376081192,17.393590669015154,18.55742313198767,21.0
1999-11-01,170402080104,19.43753678010918,16.480670617029723,19.000000000000007,23.00000000000001
1999-11-01,170402080106,18.62018648135917,16.56784263075583,18.000000000000007,19.459585857694982
1999-11-01,170402080107,18.68745349436849,16.99999999999999,18.0,20.0
1999-11-01,170402080105,18.59291944656832,16.0,17.000000000000007,20.00000000000001
1999-11-01,170402080108,18.91231590767648,16.176298326812447,18.0,20.173855465970973
1999-11-01,170402080211,20.587873574614083,16.282959974485532,19.000000000000004,24.367363045623343
1999-11-01,170402080506,21.243713373418665,16.383023096041377,21.330523068438684,25.0
1999-11-01,170402080602,18.85503986132308,15.000000000000004,18.134211291322256,21.0
1999-11-01,170402080603,20.407930908292485,16.0,19.000000000000007,24.47889167162217
1999-11-01,170402080605,17.41335698646143,15.000000000000004,17.000000000000004,19.07658958776645
1999-11-01,170402080607,18.118318524264875,14.999999999999998,16.999999999999982,20.216216958867324
1999-11-01,170402080606,18.586059492445237,15.0,18.000000000000004,21.2856684296739
1999-11-01,170402080507,19.12125202819697,14.999999999999996,17.999999999999982,22.999999999999996
1999-11-01,170402080101,17.137356221523522,14.516356439910316,17.000000000000018,18.00000000000002
1999-11-01,170402080103,22.6386048542244,18.00000000000001,22.0,27.00000000000001
1999-11-01,170402080206,22.50857010018277,18.000000000000004,22.504205138655923,27.000000000000007
1999-11-01,170402080501,20.2175549843469,16.0,19.000000000000004,22.999999999999996
1999-11-01,170402080502,19.678684106041334,15.000000000000002,18.00000000000001,25.0
