Date,huc12,alexi_mean,alexi_25th,alexi_50th,alexi_75th
2012-02-01,170402080301,11.24292706596886,4.455896536706713,10.0,15.000000000000002
2012-02-01,170402080303,22.14915689826735,12.0,24.0,32.0
2012-02-01,170402080302,23.116725861119043,16.32926645445598,25.000000000000004,30.26081506629225
2012-02-01,170402080304,23.11322970191816,12.999999999999998,25.0,33.0
2012-02-01,170402080307,23.968042022020917,14.000000000000002,26.9388289674633,33.000000000000014
2012-02-01,170402080308,25.71451398024693,20.540402040898027,27.50808163311449,33.0
2012-02-01,170402080401,26.012376650996583,16.0,29.0,35.494090892515565
2012-02-01,170402080403,24.20963027704994,11.999999999999998,27.000000000000004,35.00000000000001
2012-02-01,170402080205,23.425914211810284,10.98113765730032,27.52970946333536,33.000000000000014
2012-02-01,170402080402,21.551147742861527,10.000000000000002,20.0,33.99999999999999
2012-02-01,170402080404,18.939122270938796,8.0,18.000000000000004,30.0
2012-03-01,170402080608,48.09217434617567,36.00000000000001,46.00000000000001,57.99999999999998
2012-03-01,170402080102,52.46441649785929,41.0,52.340959585799226,64.31821247262948
2012-03-01,170402080104,60.12360617809868,47.000000000000014,60.00000000000001,73.18044760582927
2012-03-01,170402080106,51.82517551672194,39.0,51.480776103234746,64.47559818913358
2012-03-01,170402080107,53.734989317930406,39.0,52.99999999999999,65.99999999999999
2012-03-01,170402080105,59.061574733361866,47.45665323350339,59.4386680743615,70.0
2012-03-01,170402080108,58.271885597787545,49.47056837834634,58.47097002469839,67.0
2012-03-01,170402080211,58.543525837248445,46.000000000000014,58.33797290016373,72.2920090726588
2012-03-01,170402080506,47.85450862138902,33.999999999999986,44.0,61.80832253718195
2012-03-01,170402080602,47.92333954739659,35.15026108451655,48.22163246746686,61.00000000000001
2012-03-01,170402080603,50.435737680024936,37.00000000000001,48.916504355589694,62.97904069658264
2012-03-01,170402080605,36.67711590980794,25.000000000000007,35.12632928363932,45.99999999999999
2012-03-01,170402080607,43.6736813405433,33.00000000000001,43.00000000000001,53.10961782404976
2012-03-01,170402080606,47.59142268405309,36.00000000000001,46.0,58.34920555460999
2012-03-01,170402080507,41.38898693432678,27.000000000000004,39.00000000000002,53.99999999999999
2012-03-01,170402080101,49.77328794509454,39.0,49.42328812565345,59.99999999999999
2012-03-01,170402080103,58.43707365439205,42.00000000000001,57.00000000000002,76.0
2012-03-01,170402080206,65.35717059526287,48.00000000000001,64.0,80.0
2012-03-01,170402080501,56.55943369860442,41.00000000000001,54.99999999999999,71.00000000000003
2012-03-01,170402080502,57.162462089502064,41.00000000000001,57.0,75.0
2012-03-01,170402080503,48.821478558374885,29.00000000000001,47.00000000000003,70.0
2012-03-01,170402080504,57.192971843079086,39.0,59.40779459940243,76.38861225918734
2012-03-01,170402080505,46.31835558190103,30.223037275973933,41.0,60.0
2012-03-01,170402080601,52.95415463562907,39.99999999999999,52.99999999999999,66.00000000000001
2012-03-01,170402080604,34.11339158706518,23.0,32.0,44.00000000000001
2012-03-01,170402080305,57.07022367798636,44.0,56.49716008098094,70.00000000000001
2012-03-01,170402080306,50.898158348796464,38.00000000000001,50.00000000000001,64.0
2012-03-01,170402080201,53.786165127818,41.000000000000014,53.00000000000001,65.99999999999999
2012-03-01,170402080203,54.21758332629698,36.99999999999999,51.99999999999999,70.0
2012-03-01,170402080202,55.537882361584685,43.0,55.01720598139563,69.49198172805909
2012-03-01,170402080204,63.73653501934963,52.00000000000001,66.32770621019263,77.00000000000001
2012-03-01,170402080208,60.6629143714161,45.0,59.00000000000001,74.99999999999999
2012-03-01,170402080209,59.34535271517315,44.50551214438892,60.0,75.50739444128517
2012-03-01,170402080207,63.2039523654731,46.56457633870141,62.000000000000014,78.31061151825813
2012-03-01,170402080210,57.233250498906095,42.25701130021557,56.25204332209356,72.19327699053187
2012-03-01,170402080301,52.70226138677098,36.46935811401444,52.00000000000001,70.0
2012-03-01,170402080303,52.56272672335846,42.5046667858529,50.48261511421551,62.0
2012-03-01,170402080302,47.03263695649033,38.40521654720285,46.12742930078759,56.010696974104775
2012-03-01,170402080304,56.348112035728754,43.0,53.99999999999999,67.0
2012-03-01,170402080307,52.637214676261344,43.00000000000002,51.39565158066195,61.00000000000001
2012-03-01,170402080308,49.58365414519701,39.06127387731463,48.030702385800126,59.06367647095712
2012-03-01,170402080401,52.76087024303981,42.99999999999999,53.00000000000001,61.99999999999997
2012-03-01,170402080403,57.45966449294679,47.0,57.00000000000001,66.0
2012-03-01,170402080205,60.3028402315979,50.00000000000001,57.4798961507276,67.47355656501321
2012-03-01,170402080402,57.67173390644548,44.00000000000001,57.00000000000001,70.0
2012-03-01,170402080404,52.85738066840352,38.35289428679092,52.412479072268624,64.99999999999999
2012-04-01,170402080608,69.86061149627383,50.49085650520371,66.9743860419051,84.94809167665545
2012-04-01,170402080102,76.95156506401865,62.37275495485871,77.39644143665878,91.48944585911548
2012-04-01,170402080104,71.3117299408606,48.99999999999999,68.0,94.0
2012-04-01,170402080106,73.73559655298288,56.48331081618056,72.46644042528149,92.0
2012-04-01,170402080107,71.37110646642147,56.00000000000001,70.99999999999999,85.99999999999999
2012-04-01,170402080105,80.26761610460875,58.0,80.46239989632876,98.3891258849899
2012-04-01,170402080108,78.35844929723696,62.42968998404796,78.44963913963181,92.0
2012-04-01,170402080211,85.92968070079928,67.99999999999997,83.48050200547331,101.0
2012-04-01,170402080506,71.15090323137042,50.41409956600887,66.32940437310937,90.0
2012-04-01,170402080602,70.64893877977455,54.20674374143281,68.99999999999999,87.17366154637187
2012-04-01,170402080603,71.58408303089674,52.88589934526651,69.95596294485908,88.47945135631247
2012-04-01,170402080605,55.9682904915725,38.11874602637149,54.50800140182338,72.16031484959258
2012-04-01,170402080607,64.30689337810426,43.00000000000001,59.06205840409669,80.99999999999999
2012-04-01,170402080606,73.15544186065762,55.00000000000001,72.46684749664769,91.0
2012-04-01,170402080507,62.39431018478371,44.0,60.0,79.00000000000001
2012-04-01,170402080101,73.54757398476737,63.0,73.2234517118305,83.99999999999999
2012-04-01,170402080103,77.98858541712863,52.99999999999999,73.0,97.00000000000004
2012-04-01,170402080206,86.26253538091137,61.00000000000001,81.99999999999997,106.0
2012-04-01,170402080501,80.82822666845817,60.0,78.0,99.0
2012-04-01,170402080502,83.65018605303156,59.0,81.00000000000001,105.99999999999996
2012-04-01,170402080503,68.5024431824335,43.0,68.0,95.0
2012-04-01,170402080504,81.75237370629561,57.0,79.40256495618684,105.14699233122036
2012-04-01,170402080505,68.84925971875438,47.0,64.44847540432674,88.0
2012-04-01,170402080601,71.95784023080802,56.11668335203439,69.0,86.0
2012-04-01,170402080604,46.96824082873263,32.0,43.99999999999999,59.99999999999999
2012-04-01,170402080305,83.35564562960853,64.50041884748755,80.0,102.0
2012-04-01,170402080306,73.03459962736265,57.00000000000001,70.99999999999997,88.00000000000001
2012-04-01,170402080201,82.5005470364306,64.0,85.00000000000001,101.0
2012-04-01,170402080203,89.19330718151187,71.0,89.00000000000003,108.0
2012-04-01,170402080202,72.17471195120115,54.057677997823006,72.49139077409068,89.50089831949036
2012-04-01,170402080204,77.21799666673044,58.99999999999999,77.34230574603215,93.26965889018518
2012-04-01,170402080208,83.85918418138809,64.0,84.0,105.0
2012-04-01,170402080209,80.51779381371617,58.99999999999999,78.00612501610047,102.01168852912204
2012-04-01,170402080207,89.82007661058924,66.4881083150554,88.0,112.0
2012-04-01,170402080210,80.98754966645798,56.99999999999999,78.41546192304597,103.0
2012-04-01,170402080301,81.07430431426458,56.45426651389368,79.00000000000003,104.0
2012-04-01,170402080303,85.79735418613811,68.48684977259143,81.46979475085922,99.0
2012-04-01,170402080302,72.60115260878413,56.34606281149027,70.67477390260576,86.3596402300832
2012-04-01,170402080304,80.80940921560502,62.08161057415642,78.00000000000003,96.0
2012-04-01,170402080307,74.92796165931681,54.36691541199173,72.24793459987156,92.36668079924225
2012-04-01,170402080308,73.62408003934821,58.00000000000001,70.9669970991506,87.00000000000001
2012-04-01,170402080401,71.32393395890797,57.51237917568241,70.0,85.0
2012-04-01,170402080403,80.04982936326702,66.0,79.00000000000003,92.0
2012-04-01,170402080205,77.87365278980096,61.521133348421664,78.0,91.0
