Date,huc12,sebal_mean,sebal_25th,sebal_50th,sebal_75th
1999-10-01,170402080608,28.04104087533242,6.019110268082231,20.999999999999996,58.00000000000003
1999-10-01,170402080102,18.49051959729647,8.229786163154996,17.0,28.371749535996877
1999-10-01,170402080104,20.16061591461905,4.0,16.133722047632652,32.99999999999999
1999-10-01,170402080106,13.9291649782458,4.4605214181144905,11.473327112545816,22.491669788140285
1999-10-01,170402080107,12.648811854918842,3.0000000000000004,10.999999999999996,19.0
1999-10-01,170402080105,19.216936028297454,6.449605816086326,16.441301401047163,28.000000000000004
1999-10-01,170402080108,13.648162201189889,4.453348418356504,11.0,19.000000000000004
1999-10-01,170402080211,19.424005351981304,8.0,18.34901779518497,29.0
1999-10-01,170402080506,12.995462427693294,2.366904498861398,10.0,22.337879775400403
1999-10-01,170402080602,12.06568551643132,4.150385460445634,9.0,18.25146724777927
1999-10-01,170402080603,20.01161734603053,6.462265878612064,17.0,32.0
1999-10-01,170402080605,9.95792398351589,1.0,7.0,16.0
1999-10-01,170402080607,19.096862191013464,6.004609238859056,16.05446560612052,30.023860881940887
1999-10-01,170402080606,16.293885800493523,5.000000000000002,13.323390246823298,26.27955603867945
1999-10-01,170402080507,11.240863816614446,0.0,6.999999999999999,18.0
1999-10-01,170402080101,12.25410053535884,6.459299458961056,11.428917630122116,17.399347562653087
1999-10-01,170402080103,27.146293544712435,11.0,27.0,42.0
1999-10-01,170402080206,23.385121768309784,5.457463811663728,20.963643770333537,39.50796964302446
1999-10-01,170402080501,16.701046065864915,4.0,13.000000000000004,28.00000000000001
1999-10-01,170402080502,18.73952867985113,4.0,14.0,30.0
1999-10-01,170402080503,11.54571844787083,1.0,8.0,18.99999999999999
1999-10-01,170402080504,20.006023251287445,2.20172168487554,17.0,33.38257629269715
1999-10-01,170402080505,10.34344775222674,0.0,5.000000000000001,17.000000000000004
1999-10-01,170402080601,18.03258893660253,6.999999999999999,14.999999999999996,28.000000000000004
1999-10-01,170402080604,10.679963033431408,0.0,6.000000000000001,17.999999999999993
1999-10-01,170402080305,13.753127171541296,6.000000000000001,12.47861703179048,19.000000000000007
1999-10-01,170402080306,12.968382288873034,4.999999999999999,10.999999999999998,20.0
1999-10-01,170402080201,10.64523716798319,2.9999999999999973,8.0,13.999999999999996
1999-10-01,170402080203,19.73878663505671,10.000000000000004,19.0,29.0
1999-10-01,170402080202,12.035117933567912,4.0,10.482662726766652,17.0
1999-10-01,170402080204,16.0135262428607,5.0,13.000000000000002,22.283318157192184
1999-10-01,170402080208,22.00540413976084,11.0,21.0,32.0
1999-10-01,170402080209,27.433523645385435,15.000000000000004,27.0,39.488413194193534
1999-10-01,170402080207,19.442179526483727,6.436134368863451,17.304722374884175,30.326287591304915
1999-10-01,170402080210,17.17613940503246,6.15441011141888,16.0,26.22909246594828
1999-10-01,170402080301,22.090161888820017,8.0,20.441967966023245,34.46778578609762
1999-10-01,170402080303,22.024910297654475,13.000000000000002,22.89565784768035,30.000000000000004
1999-10-01,170402080302,22.532943173333013,16.0,22.0,29.0
1999-10-01,170402080304,17.577581463990967,8.0,16.0,25.0
1999-10-01,170402080307,17.88594496430001,10.499731877150172,16.47419993361408,23.44439516549631
1999-10-01,170402080308,13.500656061109012,5.479743570211404,12.471923011560786,19.0
1999-10-01,170402080401,15.71963059521748,7.0,15.000000000000004,22.0
1999-10-01,170402080403,13.747519972453617,5.000000000000002,11.999999999999996,19.0
1999-10-01,170402080205,17.706102129700774,8.0,15.000000000000002,24.000000000000004
1999-10-01,170402080402,16.892058811446592,6.000000000000002,12.999999999999996,23.0
1999-10-01,170402080404,12.691546404282196,3.000000000000001,10.249562049496772,19.000000000000007
1999-11-01,170402080608,10.632374420907588,2.0,6.000000000000001,22.0
1999-11-01,170402080102,9.385328705093832,4.274528361353997,10.0,14.409256209064774
1999-11-01,170402080104,7.252573966487966,2.5511216177200127,7.000000000000001,11.000000000000002
1999-11-01,170402080106,5.7673430074903465,2.5293406222603325,6.478457665873153,8.448224885611799
1999-11-01,170402080107,5.3671811822067,2.0,6.000000000000002,8.0
1999-11-01,170402080105,8.933534290696967,5.000000000000004,9.199186198930953,11.160694856797049
1999-11-01,170402080108,7.710399584334912,5.000000000000001,8.0,10.0
1999-11-01,170402080211,5.154392204413504,1.0,5.309408440921546,8.0
1999-11-01,170402080506,3.5101629786509867,0.0,3.000000000000001,5.254000437790103
1999-11-01,170402080602,4.700950503650002,0.0,4.0,8.0
1999-11-01,170402080603,5.605298452821096,0.0,5.0,9.903459634620445
1999-11-01,170402080605,4.655578865379146,2.410828426025372,4.043559014709942,6.000000000000002
1999-11-01,170402080607,5.495242971573328,4.0,4.0,7.000000000000001
1999-11-01,170402080606,4.547869707630537,1.0,4.185816013721993,7.000000000000005
1999-11-01,170402080507,4.1825211421210335,0.0,2.0,7.000000000000001
1999-11-01,170402080101,11.62822650816312,8.999999999999998,13.000000000000004,15.000000000000004
1999-11-01,170402080103,6.387237238345486,1.0,5.999999999999999,9.999999999999998
1999-11-01,170402080206,5.008588512064068,0.0,5.521985665787337,8.450477151731217
1999-11-01,170402080501,4.771985730008545,0.0,4.0,8.999999999999998
1999-11-01,170402080502,3.720192618956961,0.0,2.0,7.0
1999-11-01,170402080503,4.560095918108512,0.0,2.999999999999999,8.0
1999-11-01,170402080504,4.186352661751119,0.0,2.1291922806782835,6.999999999999999
1999-11-01,170402080505,4.264586672399013,0.0,3.0000000000000013,7.000000000000001
1999-11-01,170402080601,7.365592902565773,1.0,8.0,12.105079740773387
