Date,huc12,pr,etr,tmmn,tmmx
1999-01-01,170402080608,39.06009861408932,29.871448569046656,267.4648412259211,275.5730492143457
1999-01-01,170402080102,64.42811180278886,25.74453598071543,265.4955496348181,273.3819690627446
1999-01-01,170402080104,102.14627363195909,25.714261262711425,265.381321117036,272.54827241299574
1999-01-01,170402080106,53.6347665301056,27.61240093580619,265.70741550397787,272.9428433604232
1999-01-01,170402080107,45.23952268942143,31.851244169334105,265.20700412099575,273.60901850569604
1999-01-01,170402080105,53.54357937189952,27.62150754521672,265.49458008263935,274.0109551333816
1999-01-01,170402080108,63.70179296836659,30.151203368032302,265.59394364640525,274.23050076871306
1999-01-01,170402080211,89.94823897507177,28.606481700769603,266.58875423376986,274.40854597620654
1999-01-01,170402080506,54.065281802675386,29.06864735706597,267.6041879846742,275.1883845114225
1999-01-01,170402080602,69.33260126403833,26.52585880180811,266.656892028036,274.4161785693683
1999-01-01,170402080603,82.8662272103216,26.032602592468407,266.36400347485153,273.99858625160505
1999-01-01,170402080605,40.26710001494583,25.716512289857626,267.1136851898612,275.1044605829945
1999-01-01,170402080607,34.64155721970471,25.064014053521475,267.068874369605,274.98978043230983
1999-01-01,170402080606,35.31054015466433,27.587241480471217,267.2289343982809,275.29897239459723
1999-01-01,170402080507,48.482550159870684,32.081876064487226,267.46180065990194,275.5041822123731
1999-01-01,170402080101,57.684956768990624,25.034082284852037,265.58217200335616,273.59382186084514
1999-01-01,170402080103,109.64503105125522,27.218240333011178,265.927197384912,272.6023660964221
1999-01-01,170402080206,138.2873728742138,26.02307317698166,265.5545919656368,272.4399616358926
1999-01-01,170402080501,84.74086992720126,26.955145331729348,266.5904251949361,274.05243768839085
1999-01-01,170402080502,94.67290349746193,29.03770831465042,266.40383889396645,273.9276250855536
1999-01-01,170402080503,64.11187976559255,30.347439799560792,266.9739521044191,274.9306810440556
1999-01-01,170402080504,94.76698573933238,23.927592721170694,266.1516607281709,273.7402317423482
1999-01-01,170402080505,66.02380688495722,29.320106888483334,266.7888875904388,274.74348844677775
1999-01-01,170402080601,88.212975133104,26.298656894266607,266.0692402629109,273.37761079862526
1999-01-01,170402080604,42.58108335372579,24.881400294287857,266.7909177497898,274.86292992835627
1999-01-01,170402080305,84.05100238190698,32.73310600256315,267.34451255175253,274.8470432953048
1999-01-01,170402080306,69.20516552833217,34.76606056104103,267.40403511047356,275.3019785054524
1999-01-01,170402080201,51.990833806927135,31.78283818370587,264.1512690033784,273.358000818201
1999-01-01,170402080203,69.16244899523083,32.48245986443027,265.69913837191785,274.34957102949295
1999-01-01,170402080202,40.00340231667973,31.93832855225652,264.50938833859686,274.20036191152184
1999-01-01,170402080204,52.185167893969584,31.76879014924131,265.2185889997151,274.5698426095382
1999-01-01,170402080208,91.29428493322713,29.64666786366024,265.92941893185383,273.92534350612857
1999-01-01,170402080209,101.02520155048329,25.59795019508617,265.8811634225226,273.4700674786054
1999-01-01,170402080207,96.13827313360682,30.236227909257963,265.956960424026,274.08150017925027
1999-01-01,170402080210,82.0905655349172,30.339965997827946,266.409930424211,274.4960991543778
1999-01-01,170402080301,99.89221524105834,23.64832566241349,265.95938483725183,273.50444242213104
1999-01-01,170402080303,73.88503324572162,30.34604713244315,266.72000765856046,274.91794975654227
1999-01-01,170402080302,58.45999031418331,33.058919764463745,266.75929692192665,275.4733939435086
1999-01-01,170402080304,85.07028143329987,31.06968589876867,266.45473873843054,274.37587083950166
1999-01-01,170402080307,71.82188366864492,29.343348762295527,266.67421782146715,274.87397215647553
1999-01-01,170402080308,61.024641315179586,34.56754390489581,267.0647324535601,275.5926790001333
1999-01-01,170402080401,63.023105207334225,33.315888955801704,267.22007506795205,275.4344561939508
1999-01-01,170402080403,79.07931598409628,32.61560404987344,267.00880553975645,274.9247112120464
1999-01-01,170402080205,66.95490124026176,31.64910743810997,265.6105819716695,274.3982608238781
1999-01-01,170402080402,91.94049607724665,27.417909651589312,266.82778276536254,274.3660915088575
1999-01-01,170402080404,79.2348174303154,30.452871099387266,266.7535779291684,274.6141691258584
1999-02-01,170402080608,35.07325489516741,42.48727984109754,267.5049706431324,277.1605153916874
1999-02-01,170402080102,87.77156258597925,38.66653821129003,265.29290113408314,274.60954183066985
1999-02-01,170402080104,136.36640559493415,38.85437587616664,264.9738311767578,273.7299543575878
1999-02-01,170402080106,71.43601697787297,41.172350343310136,265.5609641851382,274.17214264298167
1999-02-01,170402080107,61.633477650557865,44.99160811956909,264.93121735945994,274.8598595660665
1999-02-01,170402080105,69.0839065501808,40.788140985960425,265.1765477332842,275.26320307353535
1999-02-01,170402080108,83.05881890359764,43.30662236419884,265.2425913547825,275.5087378424567
1999-02-01,170402080211,107.55571157593876,43.62730360068912,266.41898543029885,275.769216510271
1999-02-01,170402080506,67.19674739709723,40.176381392158206,267.29613863884197,276.4399877284214
1999-02-01,170402080602,89.53636040599179,39.276900172125806,266.4224604445096,275.7167276539955
1999-02-01,170402080603,108.02628600236737,37.76127643261524,265.9589973279757,275.16756731799245
1999-02-01,170402080605,41.33217904496276,38.48430709538803,266.98092649276947,276.7164086746843
1999-02-01,170402080607,29.25461498092715,37.708680917050145,267.044618643227,276.7461054810844
1999-02-01,170402080606,29.739571950958755,40.58260116939304,267.2823306828109,277.0565051372544
1999-02-01,170402080507,49.45291277631029,45.706924111924614,267.3835269644572,276.9800436307065
1999-02-01,170402080101,76.69430719767871,38.73418274493409,265.4226988388032,274.81511836164105
1999-02-01,170402080103,143.96046707626274,41.60919220167962,265.60118734254127,273.7929450914216
