Date,UID,et_crop_25th,et_crop_50th,et_crop_75th,et_crop_mean,et_non_crop_25th,et_non_crop_50th,et_non_crop_75th,et_non_crop_mean
2005-06-01,102,97.0,121.0,142.0,117.92775995539388,108.3531574785163,128.23888090113184,150.0,130.55571885092488
2005-06-01,103,108.44482972546906,137.00000000000003,186.4660851300388,142.67108102072555,92.57206678486072,120.86928094098604,150.9158019973383,124.76515888605216
2005-07-01,101,99.35073666995088,132.39853013016304,174.4643195637046,133.8099094279629,102.72445689766764,126.55559137717825,156.81128693586118,132.0297525653458
2005-07-01,102,84.0,119.0,156.0,118.1645431699003,92.50379605535193,118.56138384918548,148.49451627545702,123.03857057650096
2005-07-01,103,114.53365770300653,168.5466149063497,196.5056608004756,152.92169950856652,68.58523205074344,104.5213936318629,152.4967698297099,114.90587060813384
2005-08-01,101,66.38248558637437,95.2040536156878,121.4131413475439,93.00379285308344,67.0,86.3179067002006,110.60480359111668,90.06117674019497
2005-08-01,102,46.18716288958003,74.0,108.0,77.52322501027342,57.45007210374333,79.33961645755313,107.21076539157956,84.09979275535422
2005-08-01,103,51.02761829145213,74.0,108.48193993870832,80.46436378176851,42.00000000000002,71.40252728922748,106.26801693795232,77.41480979037513
2005-09-01,101,33.0,47.41526704086278,60.99999999999999,47.55980120278328,40.07344287309613,54.22533592642707,73.49358455788803,58.145245526797176
2005-09-01,102,27.000000000000004,43.0,63.00000000000001,45.42348231266431,37.3357491135835,54.167412477811645,75.39522017206248,58.17062845957718
2005-09-01,103,24.450157344291878,38.0,52.45088759043279,40.6895912744715,23.3603011169459,45.09759852160575,69.00000000000001,48.05779297390748
2005-10-01,101,20.214326396218592,28.49088025443532,36.00000000000001,28.198832542058536,24.470473217996656,35.01667782881717,47.53911542389949,36.79636340987451
2005-10-01,102,20.000000000000004,30.000000000000007,39.0,29.678312370111183,24.6188755053416,36.46192111828668,48.56564256212419,37.93904934969969
2005-10-01,103,14.07690607463438,24.72719226178409,35.43581290574436,26.37749213726756,16.011004532661715,30.455919543714348,45.265641747958405,32.22257413107024
2005-11-01,101,16.0,19.41984149013849,21.166619913808805,18.80490998254459,13.517664114025738,20.289910803084265,27.19496515853425,20.84310447157703
2005-11-01,102,13.000000000000002,17.0,20.0,16.657784774131272,13.54638065110353,20.43909944484739,28.000000000000007,21.048794001104003
2005-11-01,103,12.445735585894791,17.463390918233507,20.42885781416191,16.840385839102968,12.517740725350574,18.47137880986938,25.46759310583105,19.469685302818757
2005-12-01,101,6.618604796870219,9.000000000000004,11.000000000000004,8.956365547428941,4.454787472031261,8.34418840050786,12.057578335172478,8.666364697824687
2005-12-01,102,6.999999999999999,9.999999999999998,12.000000000000002,9.502873004809476,5.705806775205405,9.35012508114797,13.294587190140868,9.879795798175456
2005-12-01,103,8.0,11.493527173084942,13.472023501570924,11.027586434192052,6.349050531779628,10.13337436795076,13.787649129914625,10.171134072449489
2006-01-01,101,,,,,,,,
2006-01-01,102,2.0,19.0,22.0,15.453737969106614,2.0,16.0,20.0,13.077518116462793
2006-01-01,103,14.513999907234188,18.475872275839,21.94869708550417,17.819591009461003,8.55527325107641,15.00000000000001,18.45165034908876,13.873644234037268
2006-02-01,101,,,,,,,,
2006-02-01,102,25.0,36.0,40.0,31.84764388213828,21.0,32.0,36.0,28.644144117825835
2006-02-01,103,29.495653710010373,34.00000000000002,38.0,33.34668818390381,24.870055751208724,29.45029680771388,35.0,29.498581800838974
2006-03-01,101,19.000000000000004,23.000000000000007,25.35920595887733,21.437157257725243,10.210992967497008,13.383752985999946,21.000000000000007,15.247998970788204
