Date,UID,et_crop_25th,et_crop_50th,et_crop_75th,et_crop_mean,et_non_crop_25th,et_non_crop_50th,et_non_crop_75th,et_non_crop_mean
2015-10-01,102,22.497021203452903,28.55645751691128,36.00000000000001,28.809366875427475,10.710912142769136,22.69934727777781,32.05580359196931,21.70603654246893
2015-10-01,103,9.0,17.815745207876464,26.431662792187534,18.503369590705304,5.423051581939689,16.255028160696657,28.310090566000618,18.345529460060103
2015-11-01,101,4.302746230267405,5.608310489074291,8.0,6.365902928936508,2.3456085341955624,5.565247177779342,9.208011145155204,6.376128548336381
2015-11-01,102,4.0,6.442665517432248,8.0,6.327745136307219,1.0,4.483498332063976,8.306163606374236,5.200083162662879
2015-11-01,103,3.000000000000001,4.399837201112631,6.0,4.323728668070025,2.0,4.324628512237134,8.292266828722413,5.236897508677888
2015-12-01,101,3.0,4.0,5.0,3.720160523702472,1.0,3.0000000000000013,5.066027436949264,3.806358099773844
2015-12-01,102,1.0,2.357682929294509,3.0,2.4846746373949515,0.0,2.343956948454797,4.277406439991613,2.660669297280048
2015-12-01,103,3.0000000000000013,4.454183652579235,6.000000000000004,4.281420964602126,1.0,4.308110109250111,6.338121212633191,4.53884127638378
2016-01-01,101,5.0,5.0,5.999999999999999,5.403511740640832,0.0,5.146608851670635,6.272311655984485,6.72415934704715
2016-01-01,102,5.0,5.0,5.0,5.2045814983682455,4.0,5.312361705974498,6.418977401216203,5.955942356191163
2016-01-01,103,5.00803446823966,5.00803446823966,5.00803446823966,4.931608539226748,4.609004748675588,5.391031490397245,6.186341962374857,5.424533926555423
2016-02-01,101,5.392310792450912,8.492089488814779,11.000000000000002,9.380526665712914,4.45879043379531,6.999999999999999,16.397701583092967,12.43036742261745
2016-02-01,102,5.000000000000001,10.0,36.0,16.77951578268149,4.079602640927707,10.153876523805517,36.10419862224964,16.99624975278791
2016-02-01,103,37.99999999999999,40.0,43.00000000000001,38.15847611609598,17.000000000000004,39.00000000000003,44.00000000000002,31.68126824665293
2016-03-01,101,22.0,31.0,45.00000000000002,31.955046535887565,15.000000000000002,24.0,34.571620395327095,25.272602028405657
2016-03-01,102,20.0,30.0,40.14157781060789,29.801546726365533,16.495864104874677,24.23512330878392,35.0,25.545576001428397
2016-03-01,103,9.0,16.441841206040518,26.43416749431327,18.335066351658845,13.354605339056985,23.4774576036964,33.99999999999999,25.69309264495331
2016-04-01,101,38.0,57.000000000000014,78.0,56.24263617211738,18.17965276338819,48.60088194606061,80.00000000000001,50.690095170001655
2016-04-01,102,58.47231984166402,73.23098704883273,85.0,71.49301908804398,53.04346610312735,70.31847239869695,83.61715285480048,65.99085580039969
2016-04-01,103,50.00000000000001,74.0,94.4467716133424,70.2747876552534,44.50280188238931,70.45903786880348,92.0,67.36978834829821
2016-05-01,101,64.0,99.4112721642191,124.0,94.29705369413072,98.24805219694564,120.05305115056282,140.40703066048374,117.59428251845829
2016-05-01,102,80.0,105.0,127.0,101.93671551711394,89.00000000000001,109.43897059285702,130.32432551682822,108.44279244788184
2016-05-01,103,97.0,123.88336738081084,154.00000000000003,120.9694391350334,86.37051912368356,108.4989253344176,134.00000000000003,109.62241051442304
2016-06-01,101,62.36269926134898,102.7584843045728,135.0,98.01555538804335,93.59515961096282,130.366378330804,158.00000000000003,123.3093532127601
2016-06-01,102,64.0,101.0,129.0,97.36400329192348,80.0,116.43411126444084,151.47910417216525,114.09297140155208
2016-06-01,103,116.0,162.0,183.00000000000003,144.75764828560204,51.39459796947352,103.5418661851148,155.19050583789365,103.37449265313012
2016-07-01,101,72.60027296595827,113.49850801426328,158.43537100854488,115.4125192979055,72.4138444512468,108.02014991771752,144.11783277177824,107.75697096974912
2016-07-01,102,39.24601546426211,74.46059333098695,117.0,79.23747133794812,45.46376684033852,78.45758634780455,120.49830859111408,83.14583573871734
2016-07-01,103,82.0,128.48170071924127,162.47442759205373,116.47905191602209,11.597768942635682,64.32903037558975,124.38826079274524,73.21236969273751
2016-08-01,101,32.0,67.25077087724796,106.0,70.29951239337429,44.18080716663343,77.45800858210228,114.25055505249422,80.40634729191595
2016-08-01,102,16.0,39.0,87.0,54.189999182608254,32.0,63.00000000000001,100.54824967369952,67.64281968841745
2016-08-01,103,49.00000000000001,76.0,109.0,77.35533996383296,23.307659665601687,59.4440345422103,103.3315050886853,65.9530583162858
2016-09-01,101,14.0,24.9939591371619,38.3956384787472,28.4962004874452,19.487808600725348,37.01028306744306,57.19321086638383,39.285957968182935
2016-09-01,102,21.0,37.0,55.259675062900136,39.8108666290677,19.0,38.08689926178354,56.13929943471009,39.08586790434323
2016-09-01,103,21.46211341224289,35.0,51.0,36.123285242968215,13.649147708790112,30.541919251549164,49.39275180914064,33.162110270155935
2016-10-01,101,7.0,15.000000000000004,23.00000000000001,15.836469153672972,5.465223106113148,18.004909189861458,29.497625165637203,18.873937766785684
2016-10-01,102,19.0,27.13337466191572,35.0,26.32313667909152,8.292306671912346,22.10579076761608,32.28258671606691,20.96326239451489
2016-10-01,103,12.395852294573718,25.44027218477612,33.90526758118413,23.50887960736136,16.44952011015695,25.340622238888493,32.42681786438299,24.10909499528192
2016-11-01,101,2.1644802092499806,4.317363026754864,6.0,4.161553327214289,1.0,3.0000000000000018,6.247454384737243,4.155026085126443
2016-11-01,102,4.229723254756764,7.0,10.0,7.3331719760590275,1.0,4.0,8.322634476223238,5.132495010765416
2016-11-01,103,4.483966192740247,8.0,10.420477005793195,7.646705827190279,1.0,5.260740981515928,10.237371130848294,6.091662297486479
2016-12-01,101,0.0,0.0,1.0,0.8378446524062403,0.0,0.0,1.0,1.3492143331814794
2016-12-01,102,0.0,3.0,7.0,4.164768366535515,0.0,0.0,4.5013735234753165,2.864360473552902
2016-12-01,103,0.0,1.0,1.0,0.987181790726484,0.0,0.0,1.0,1.3910610244542816
2017-01-01,101,10.0,12.0,14.0,11.212113008810356,0.0,4.0,10.206556640429124,5.722221881693371
2017-01-01,102,0.0,3.0,6.0,3.7690242885823935,0.0,3.0,8.0,4.460510110447314
2017-01-01,103,11.351742164029709,12.441007351620891,12.441007351620891,11.698407296753595,7.0,11.603778609061395,13.343822617446996,9.31674207112752
2017-02-01,101,0.0,0.0,3.0000000000000027,2.6050719670087963,0.0,0.0,1.0,2.332128367192089
2017-02-01,102,0.0,0.0,1.0,3.553436619482229,0.0,0.0,1.0,3.2716068366629107
2017-02-01,103,37.0,41.0,45.0,36.31673567094832,1.0,7.000000000000001,40.99999999999999,20.174783459390877
2017-03-01,101,0.0,6.0,23.0,13.837732874883782,0.0,9.39594326600266,40.3403922588593,24.958383502527923
